"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Kingdom"
"ABCO","","ABCO","Abies concolor","","Abies","","concolor","","","","","","","","","","","(Gord. & Glend.) Lindl. ex Hildebr.","","","","","white fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABFI","","ABFI","Abies firma","","Abies","","firma","","","","","","","","","","","Siebold & Zucc.","","","","","Momi fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABFR","","ABFR","Abies fraseri","","Abies","","fraseri","","","","","","","","","","","(Pursh) Poir.","","","","","Fraser fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABGR","","ABGR","Abies grandis","","Abies","","grandis","","","","","","","","","","","(Douglas ex D. Don) Lindl.","","","","","grand fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABGU","","ABGU","Abies guatemalensis","","Abies","","guatemalensis","","","","","","","","","","","Rehder","","","","","Guatemalan fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABHO","","ABHO","Abies homolepis","","Abies","","homolepis","","","","","","","","","","","Siebold & Zucc.","","","","","Nikko fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABLA","","ABLA","Abies lasiocarpa","","Abies","","lasiocarpa","","","","","","","","","","","(Hook.) Nutt.","","","","","subalpine fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABLAA","","ABLAA","Abies lasiocarpa var. arizonica","","Abies","","lasiocarpa","","","","var.","","arizonica","","","","","(Hook.) Nutt.","(Merriam) Lemmon","","","","corkbark fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABLAL","","ABLAL","Abies lasiocarpa var. lasiocarpa","","Abies","","lasiocarpa","","","","var.","","lasiocarpa","","","","","(Hook.) Nutt.","(Hook.) Nutt.","","","","subalpine fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABLO","","ABLO","Abies lowiana","","Abies","","lowiana","","","","","","","","","","","(Gordon & Glend.) A. Murray bis","","","","","Sierra white fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABMA","","ABMA","Abies magnifica","","Abies","","magnifica","","","","","","","","","","","A. Murray bis","","","","","California red fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABMAM","","ABMAM","Abies magnifica var. magnifica","","Abies","","magnifica","","","","var.","","magnifica","","","","","A. Murray bis","","","","","California red fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABMAS","","ABMAS","Abies magnifica var. shastensis","","Abies","","magnifica","","","","var.","","shastensis","","","","","A. Murray bis","Lemmon","","","","Shasta red fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABPR","","ABPR","Abies procera","","Abies","","procera","","","","","","","","","","","Rehder","","","","","noble fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABVE2","","ABVE2","Abies veitchii","","Abies","","veitchii","","","","","","","","","","","Lindl.","","","","","Christmastree","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABIET","","ABIET","Abietinella","","Abietinella","","","","","","","","","","","","","Müll. Hal.","","","","","abietenella moss","Moss","Abietinella","Thuidiaceae","Hypnales","Bryidae","Bryopsida","Musci","Bryophyta","","","Plantae"
"ABAB70","","ABAB70","Abietinella abietina","","Abietinella","","abietina","","","","","","","","","","","(Hedw.) Fleisch.","","","","","abietinella moss","Moss","Abietinella","Thuidiaceae","Hypnales","Bryidae","Bryopsida","Musci","Bryophyta","","","Plantae"
