"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status"
"ABGL","","ABGL","Abutilon glabriflorum","","","","","",""
"ABGR3","","ABGR3","Abutilon grandifolium","hairy Indian mallow","","","","",""
"ABHI","","ABHI","Abutilon hirtum","Florida Keys Indian mallow","","","","",""
"ABHU","","ABHU","Abutilon hulseanum","mauve","","","","",""
"ABHY","","ABHY","Abutilon hypoleucum","whiteleaf Indian mallow","","","","",""
"ABIN","","ABIN","Abutilon incanum","pelotazo","","","","",""
"ABIN3","","ABIN3","Abutilon indicum","monkeybush","","","","",""
"ABINA","","ABINA","Abutilon indicum ssp. albescens","","","","","",""
"ABMA3","","ABMA3","Abutilon malacum","yellow Indian mallow","","","","",""
"ABMA8","","ABMA8","Abutilon mauritianum","","","","","",""
"ABME3","","ABME3","Abutilon megapotamicum","trailing abutilon","","","","",""
"ABME2","","ABME2","Abutilon menziesii","ko'oloa 'ula","","","","E",""
"ABMO2","","ABMO2","Abutilon mollicomum","Sonoran Indian mallow","","","","",""
"ABPA","","ABPA","Abutilon palmeri","Palmer's Indian mallow","","","","",""
"ABPA2","","ABPA2","Abutilon parishii","Parish's Indian mallow","","","","",""
"ABPA3","","ABPA3","Abutilon parvulum","dwarf Indian mallow","","","","",""
"ABPE","","ABPE","Abutilon permolle","coastal Indian mallow","","","","",""
"ABRE","","ABRE","Abutilon reventum","yellowflower Indian mallow","","","","",""
"ABSA2","","ABSA2","Abutilon sandwicense","greenflower Indian mallow","","","","E",""
"ABTH","","ABTH","Abutilon theophrasti","velvetleaf","","CO(CW)IA(SNW)OR(BDW, Q)WA(CAW, NWSPQ)","KY, N'EAST, NE&GP, STATE, SWSS, WSWS","",""
"ABTH2","","ABTH2","Abutilon thurberi","Thurber's Indian mallow","","","","",""
"ABTR","","ABTR","Abutilon trisulcatum","anglestem Indian mallow","","","","",""
"ABWR","","ABWR","Abutilon wrightii","Wright's Indian mallow","","","","",""
"ACACI","","ACACI","Acacia","acacia","","","","",""
"ACEM","","ACEM","Acacia ×emoryana","Emory's acacia","","","","",""
"ACAB2","","ACAB2","Acacia abyssinica","","","","","",""
"ACABC2","","ACABC2","Acacia abyssinica ssp. calophylla","","","","","",""
"ACAC7","","ACAC7","Acacia acinacea","gold-dust acacia","","","","",""
"ACAC8","","ACAC8","Acacia aciphylla","","","","","",""
"ACAC9","","ACAC9","Acacia aculeatissima","","","","","",""
"ACAC10","","ACAC10","Acacia acuminata","","","","","",""
"ACAD","","ACAD","Acacia adunca","Wallangarra wattle","","","","",""
"ACAL16","","ACAL16","Acacia alata","winged wattle","","","","",""
"ACAM9","","ACAM9","Acacia ampliceps","acacia","","","","",""
"ACAN4","","ACAN4","Acacia anegadensis","blackbrush wattle","","","","",""
"ACAN10","","ACAN10","Acacia aneura","mulga","","","","",""
"ACAN","","ACAN","Acacia angustissima","prairie acacia","","","","","FL(E)"
"ACANC","","ACANC","Acacia angustissima var. chisosiana","Chisos prairie acacia","","","","",""
"ACANH","","ACANH","Acacia angustissima var. hirta","prairie acacia","","","","",""
"ACANL","","ACANL","Acacia angustissima var. leucothrix","","","","","",""
"ACANS","","ACANS","Acacia angustissima var. shrevei","Shreve's prairie acacia","","","","",""
"ACANS2","","ACANS2","Acacia angustissima var. suffrutescens","prairie acacia","","","","",""
"ACAR12","","ACAR12","Acacia arenaria","","","","","",""
