"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status"
"DEFLF","","DEFLF","Deschampsia flexuosa var. flexuosa","wavy hairgrass","","","","",""
"DEFLM","","DEFLM","Deschampsia flexuosa var. montana","mountain wavy hairgrass","","","","",""
"DEHO2","","DEHO2","Deschampsia holciformis","Pacific hairgrass","","","","",""
"DEME4","","DEME4","Deschampsia media","","","","","",""
"DENU6","","DENU6","Deschampsia nubigena","alpine hairgrass","","","","",""
"DESE3","","DESE3","Deschampsia setacea","bog hair grass","","","","",""
"DESCU","","DESCU","Descurainia","tansymustard","","","","",""
"DECA6","","DECA6","Descurainia californica","Sierra tansymustard","","","","",""
"DEIN5","","DEIN5","Descurainia incana","mountain tansymustard","","","","","ME(PX)"
"DEINI","","DEINI","Descurainia incana ssp. incana","mountain tansymustard","","","","",""
"DEINI2","","DEINI2","Descurainia incana ssp. incisa","mountain tansymustard","","","","",""
"DEINP","","DEINP","Descurainia incana ssp. procera","mountain tansymustard","","","","",""
"DEINV","","DEINV","Descurainia incana ssp. viscosa","mountain tansymustard","","","","",""
"DEOB","","DEOB","Descurainia obtusa","blunt tansymustard","","","","",""
"DEOBA","","DEOBA","Descurainia obtusa ssp. adenophora","blunt tansymustard","","","","",""
"DEOBO","","DEOBO","Descurainia obtusa ssp. obtusa","blunt tansymustard","","","","",""
"DEPA14","","DEPA14","Descurainia paradisa","paradise tansymustard","","","","",""
"DEPAN","","DEPAN","Descurainia paradisa ssp. nevadensis","paradise tansymustard","","","","",""
"DEPAP10","","DEPAP10","Descurainia paradisa ssp. paradisa","paradise tansymustard","","","","",""
"DEPI","","DEPI","Descurainia pinnata","western tansymustard","","","NE&GP, SWSS","","OH(T)"
"DEPIB","","DEPIB","Descurainia pinnata ssp. brachycarpa","western tansymustard","","","","","NY(E)"
"DEPIF","","DEPIF","Descurainia pinnata ssp. filipes","western tansymustard","","","","",""
"DEPIG","","DEPIG","Descurainia pinnata ssp. glabra","western tansymustard","","","","",""
"DEPIH","","DEPIH","Descurainia pinnata ssp. halictorum","western tansymustard","","","","",""
"DEPII","","DEPII","Descurainia pinnata ssp. intermedia","western tansymustard","","","","",""
"DEPIM","","DEPIM","Descurainia pinnata ssp. menziesii","Menzies' tansymustard","","","","",""
"DEPIN","","DEPIN","Descurainia pinnata ssp. nelsonii","Nelson's tansymustard","","","","",""
"DEPIO2","","DEPIO2","Descurainia pinnata ssp. ochroleuca","western tansymustard","","","","",""
"DEPIP2","","DEPIP2","Descurainia pinnata ssp. paysonii","Payson's tansymustard","","","","",""
"DEPIP3","","DEPIP3","Descurainia pinnata ssp. pinnata","western tansymustard","","","","",""
"DERA2","","DERA2","Descurainia ramosissima","Villa Grove tansymustard","","","","",""
"DESO2","","DESO2","Descurainia sophia","herb sophia","","","STATE, SWSS, WSWS","",""
"DESO3","","DESO3","Descurainia sophioides","northern tansymustard","","","","",""
"DESFO","","DESFO","Desfontainia","taique","","","","",""
"DESP4","","DESP4","Desfontainia spinosa","taique","","","","",""
"DESMA","","DESMA","Desmanthus","bundleflower","","","","",""
"DEAC3","","DEAC3","Desmanthus acuminatus","wild tantan","","","","",""
"DEBI8","","DEBI8","Desmanthus bicornutus","two-horn bundleflower","","","","",""
"DECO2","","DECO2","Desmanthus cooleyi","Cooley's bundleflower","","","","",""
"DECO4","","DECO4","Desmanthus covillei","Coville's bundleflower","","","","",""
"DEGL8","","DEGL8","Desmanthus glandulosus","glandular bundleflower","","","","",""
"DEIL","","DEIL","Desmanthus illinoensis","Illinois bundleflower","","","SWSS","",""
"DELE2","","DELE2","Desmanthus leptolobus","slenderlobe bundleflower","","","","",""
"DELE8","","DELE8","Desmanthus leptophyllus","slenderleaf bundleflower","","","","",""
"DEOB2","","DEOB2","Desmanthus obtusus","bluntpod bundleflower","","","","",""
"DEPE4","","DEPE4","Desmanthus pernambucanus","pigeon bundleflower","","","","",""
"DERE3","","DERE3","Desmanthus reticulatus","netleaf bundleflower","","","","",""
"DETA","","DETA","Desmanthus tatuhyensis","dwarf bundleflower","","","","",""
"DETAB","","DETAB","Desmanthus tatuhyensis var. brevipes","dwarf bundleflower","","","","",""
"DEVE2","","DEVE2","Desmanthus velutinus","velvet bundleflower","","","","",""
"DEVI3","","DEVI3","Desmanthus virgatus","wild tantan","","","","",""
"DESMA3","","DESMA3","Desmatodon","desmatodon moss","","","","",""
"DECE70","","DECE70","Desmatodon cernuus","desmatodon moss","","","","",""
"DECO10","","DECO10","Desmatodon convolutus","convolute desmatodon moss","","","","",""
"DEGU","","DEGU","Desmatodon guepinii","Guepin's desmatodon moss","","","","",""
"DEHE7","","DEHE7","Desmatodon heimii","Heim's desmatodon moss","","","","",""
"DEHEA","","DEHEA","Desmatodon heimii var. arctica","arctic Heim's desmatodon moss","","","","",""
"DEHEH3","","DEHEH3","Desmatodon heimii var. heimii","Heim's desmatodon moss","","","","",""
"DELA70","","DELA70","Desmatodon latifolius","wideleaf desmatodon moss","","","","",""
"DELA71","","DELA71","Desmatodon laureri","Laurer's desmatodon moss","","","","",""
"DELE70","","DELE70","Desmatodon leucostoma","desmatodon moss","","","","",""
"DEOB70","","DEOB70","Desmatodon obtusifolius","obtuseleaf desmatodon moss","","","","",""
"DEPL3","","DEPL3","Desmatodon plinthobius","desmatodon moss","","","","",""
"DEPO3","","DEPO3","Desmatodon porteri","Porter's desmatodon moss","","","","",""
"DERA3","","DERA3","Desmatodon randii","Rand's desmatodon moss","","","","",""
"DESY70","","DESY70","Desmatodon systylius","desmatodon moss","","","","",""
"DESMO","","DESMO","Desmodium","ticktrefoil","","","","",""
"DEAD","","DEAD","Desmodium adscendens","zarzabacoa galana","","","","",""
"DEAF","","DEAF","Desmodium affine","amor seco","","","","",""
"DEAN7","","DEAN7","Desmodium angustifolium","","","","","",""
"DEAP3","","DEAP3","Desmodium aparines","","","","","",""
"DEAR2","","DEAR2","Desmodium arizonicum","Arizona ticktrefoil","","","","",""
"DEAX","","DEAX","Desmodium axillare","zarzabacoa de monte","","","","",""
"DEAXA","","DEAXA","Desmodium axillare var. acutifolium","zarzabacoa de monte","","","","",""
"DEAXA2","","DEAXA2","Desmodium axillare var. axillare","zarzabacoa de monte","","","","",""
"DEAXS","","DEAXS","Desmodium axillare var. stoloniferum","zarzabacoa de monte","","","","",""
"DEBA5","","DEBA5","Desmodium barbatum","zarzabacoa peluda","","","","",""
"DEBA3","","DEBA3","Desmodium batocaulon","San Pedro ticktrefoil","","","","",""
"DECA15","","DECA15","Desmodium cajanifolium","tropical ticktrefoil","","","HEAR","",""
"DECA19","","DECA19","Desmodium campylocaulon","","","","","",""
"DECA7","","DECA7","Desmodium canadense","showy ticktrefoil","","","","",""
"DECA8","","DECA8","Desmodium canescens","hoary ticktrefoil","","","","",""
"DECI","","DECI","Desmodium ciliare","hairy small-leaf ticktrefoil","","","","","NY(T)RI(T)"
"DECIC","","DECIC","Desmodium ciliare var. ciliare","hairy small-leaf ticktrefoil","","","","",""
"DECIL","","DECIL","Desmodium ciliare var. lancifolium","lanceleaf ticktrefoil","","","","",""
"DECI2","","DECI2","Desmodium cinerascens","spiked ticktrefoil","","","","",""
"DECI6","","DECI6","Desmodium cinereum","","","","","",""
"DECU2","","DECU2","Desmodium cubense","Cuban ticktrefoil","","","","",""
"DECU3","","DECU3","Desmodium cuneatum","","","","","",""
"DECU","","DECU","Desmodium cuspidatum","largebract ticktrefoil","","","","","MA(T)VT(E)"
"DECUC","","DECUC","Desmodium cuspidatum var. cuspidatum","largebract ticktrefoil","","","","",""
"DECUL","","DECUL","Desmodium cuspidatum var. longifolium","largebract ticktrefoil","","","","",""
"DEDI9","","DEDI9","Desmodium discolor","horse marmalade","","","","",""
"DEDI10","","DEDI10","Desmodium distortum","","","","","",""
"DEEL6","","DEEL6","Desmodium elegans","","","","","",""
"DEFE","","DEFE","Desmodium fernaldii","Fernald's ticktrefoil","","","","",""
"DEFL3","","DEFL3","Desmodium floridanum","Florida ticktrefoil","","","","",""
"DEGA2","","DEGA2","Desmodium gangeticum","","","","","",""
"DEGL4","","DEGL4","Desmodium glabellum","Dillenius' ticktrefoil","","","","","CT(SC)"
"DEGL7","","DEGL7","Desmodium glabrum","zarzabacoa dulce","","","","",""
"DEGL5","","DEGL5","Desmodium glutinosum","pointedleaf ticktrefoil","","","","",""
"DEGR2","","DEGR2","Desmodium grahamii","Graham's ticktrefoil","","","","",""
"DEGR5","","DEGR5","Desmodium gramineum","grassleaf ticktrefoil","","","","",""
"DEHA4","","DEHA4","Desmodium hassleri","","","","","",""
"DEHE80","","DEHE80","Desmodium heterocarpon","Asian ticktrefoil","","","","",""
"DEHEH4","","DEHEH4","Desmodium heterocarpon var. heterocarpon","carpon desmodium","","","","",""
"DEHES","","DEHES","Desmodium heterocarpon var. strigosum","Asian ticktrefoil","","","","",""
"DEHE9","","DEHE9","Desmodium heterophyllum","variable-leaf ticktrefoil","","","","",""
"DEHI2","","DEHI2","Desmodium hirtum","","","","","",""
"DEHU3","","DEHU3","Desmodium humifusum","eastern trailing ticktrefoil","","","","","CT(SC)IN(E)MA(E)MD(E, X)NJ(E)NY(E)"
"DEIL2","","DEIL2","Desmodium illinoense","Illinois ticktrefoil","","","","","OH(PRX)"
"DEIN3","","DEIN3","Desmodium incanum","zarzabacoa comun","","","","",""
"DEINA","","DEINA","Desmodium incanum var. angustifolium","zarzabacoa comun","","","","",""
"DEINI3","","DEINI3","Desmodium incanum var. incanum","zarzabacoa comun","","","","",""
"DEIN2","","DEIN2","Desmodium intortum","greenleaf ticktrefoil","","","","",""
"DELA2","","DELA2","Desmodium laevigatum","smooth ticktrefoil","","","","","NY(E)"
"DELE5","","DELE5","Desmodium leiocarpon","","","","","",""
"DELI","","DELI","Desmodium lindheimeri","Lindheimer's ticktrefoil","","","","",""
"DELI2","","DELI2","Desmodium lineatum","sand ticktrefoil","","","","","MD(E)"
"DEMA2","","DEMA2","Desmodium marilandicum","smooth small-leaf ticktrefoil","","","","","NH(E)"
"DEME2","","DEME2","Desmodium metcalfei","Metcalfe's ticktrefoil","","","","",""
"DENE","","DENE","Desmodium neomexicanum","New Mexico ticktrefoil","","","","",""
"DENI2","","DENI2","Desmodium nicaraguense","","","","","",""
"DENU4","","DENU4","Desmodium nudiflorum","nakedflower ticktrefoil","","","","",""
"DENU5","","DENU5","Desmodium nuttallii","Nuttall's ticktrefoil","","","","","NY(E)"
"DEOB5","","DEOB5","Desmodium obtusum","stiff ticktrefoil","","","","","NY (E)"
"DEOC2","","DEOC2","Desmodium ochroleucum","cream ticktrefoil","","","","","FL(E)MD(E)TN(E)"
"DEPA15","","DEPA15","Desmodium pabulare","","","","","",""
"DEPA6","","DEPA6","Desmodium paniculatum","panicledleaf ticktrefoil","","","","",""
"DEPAE","","DEPAE","Desmodium paniculatum var. epetiolatum","panicledleaf ticktrefoil","","","","",""
"DEPAP2","","DEPAP2","Desmodium paniculatum var. paniculatum","panicledleaf ticktrefoil","","","","",""
"DEPA7","","DEPA7","Desmodium pauciflorum","fewflower ticktrefoil","","","","","MD(E)NJ(E)NY(E)"
"DEPE80","","DEPE80","Desmodium perplexum","perplexed ticktrefoil","","","","",""
"DEPO5","","DEPO5","Desmodium podocarpum","","","","","",""
"DEPOO","","DEPOO","Desmodium podocarpum ssp. oxyphyllum","","","","","",""
"DEPR2","","DEPR2","Desmodium procumbens","western trailing ticktrefoil","","","","",""
"DEPRE","","DEPRE","Desmodium procumbens var. exiguum","western trailing ticktrefoil","","","","",""
"DEPRP","","DEPRP","Desmodium procumbens var. procumbens","western trailing ticktrefoil","","","","",""
"DEPS","","DEPS","Desmodium psilocarpum","Santa Cruz Island ticktrefoil","","","","",""
"DEPS2","","DEPS2","Desmodium psilophyllum","simpleleaf ticktrefoil","","","","",""
"DERE4","","DERE4","Desmodium retinens","Santa Rita Mountain ticktrefoil","","","","",""
"DERO2","","DERO2","Desmodium rosei","Rose's ticktrefoil","","","","",""
"DERO3","","DERO3","Desmodium rotundifolium","prostrate ticktrefoil","","","","","NH(T)VT(T)"
"DESA3","","DESA3","Desmodium salicifolium","","","","","",""
"DESA81","","DESA81","Desmodium sandwicense","Hawai'i ticktrefoil","","","","",""
"DESC3","","DESC3","Desmodium scopulorum","Sonoran ticktrefoil","","","","",""
"DESC5","","DESC5","Desmodium scorpiurus","scorpion ticktrefoil","","","","",""
"DESE2","","DESE2","Desmodium sericophyllum","ticktrefoil","","","","",""
"DESE","","DESE","Desmodium sessilifolium","sessileleaf ticktrefoil","","","","","CT(SC)MD(E, X)NJ(E)OH(E)PA(X)RI(T)"
"DEST2","","DEST2","Desmodium strictum","pine barren ticktrefoil","","","","","MD(E)"
"DEST5","","DEST5","Desmodium styracifolium","coin-leaf desmodium","","","","",""
"DETE3","","DETE3","Desmodium tenuifolium","slimleaf ticktrefoil","","","","",""
"DETO","","DETO","Desmodium tortuosum","dixie ticktrefoil","","","SWSS","",""
"DETR4","","DETR4","Desmodium triflorum","threeflower ticktrefoil","","","","",""
"DETW","","DETW","Desmodium tweedyi","Tweedy's ticktrefoil","","","","",""
"DEUM4","","DEUM4","Desmodium umbellatum","ticktrefoil","","","","",""
"DEVA3","","DEVA3","Desmodium varians","","","","","",""
"DEVI4","","DEVI4","Desmodium viridiflorum","velvetleaf ticktrefoil","","","","",""
"DEWY","","DEWY","Desmodium wydlerianum","Wydler's ticktrefoil","","","","",""
"DESMO2","","DESMO2","Desmostachya","","","","","",""
"DEBI5","","DEBI5","Desmostachya bipinnata","","","","","",""
"DEUTZ","","DEUTZ","Deutzia","pride-of-Rochester","","","","",""
"DELE9","","DELE9","Deutzia ×lemoinei","","","","","",""
"DEMA10","","DEMA10","Deutzia ×magnifica","pride-of-Rochester","","","","",""
"DECR","","DECR","Deutzia crenata","crenate pride-of-Rochester","","","","",""
"DEGL11","","DEGL11","Deutzia glabrata","","","","","",""
"DEGR3","","DEGR3","Deutzia gracilis","slender pride of Rochester","","","","",""
"DEPA10","","DEPA10","Deutzia parviflora","Mongolian pride-of-Rochester","","","","",""
"DESC4","","DESC4","Deutzia scabra","fuzzy pride-of-Rochester","","","","",""
"DIALI","","DIALI","Dialium","dialium","","","","",""
"DIGU2","","DIGU2","Dialium guineense","velvet tamarind","","","","",""
"DIAMO","","DIAMO","Diamorpha","diamorpha","","","","",""
"DISM3","","DISM3","Diamorpha smallii","elf orpine","","","","","TN(E)"
"DIANE","","DIANE","Dianella","dianella","","","","",""
"DICA11","","DICA11","Dianella caerulea","cerulean flaxlily","","","","",""
"DICA9","","DICA9","Dianella carolinensis","Caroline dianella","","","","",""
"DISA21","","DISA21","Dianella saffordiana","","","","","",""
"DISA6","","DISA6","Dianella sandwicensis","'uki'uki","","","","",""
"DIANT","","DIANT","Dianthus","pink","","","","",""
"DIAR13","","DIAR13","Dianthus arenarius","sand pink","","","","",""
"DIAR","","DIAR","Dianthus armeria","Deptford pink","","","SWSS","",""
"DIBA","","DIBA","Dianthus barbatus","sweetwilliam","","","","",""
"DICA19","","DICA19","Dianthus carthusianorum","clusterhead","","","","",""
"DICA26","","DICA26","Dianthus caryophyllus","carnation","","","","",""
"DICH3","","DICH3","Dianthus chinensis","rainbow pink","","","","",""
"DIDE","","DIDE","Dianthus deltoides","maiden pink","","","","",""
"DIFR5","","DIFR5","Dianthus fragrans","fragrant pink","","","","",""
"DIGR7","","DIGR7","Dianthus gratianopolitanus","cheddar pink","","","","",""
"DIPL","","DIPL","Dianthus plumarius","feathered pink","","","","",""
"DIRE","","DIRE","Dianthus repens","boreal carnation","","","","",""
"DISE14","","DISE14","Dianthus seguieri","ragged pink","","","","",""
"DIST9","","DIST9","Dianthus sternbergii","","","","","",""
"DISU12","","DISU12","Dianthus superbus","fringed pink","","","","",""
"DISY2","","DISY2","Dianthus sylvestris","woodland pink","","","","",""
"DIAPE","","DIAPE","Diapensia","diapensia","","","","",""
"DILA","","DILA","Diapensia lapponica","pincushion plant","","","","","ME(SC)NH(T)NY(T)VT(E)"
"DILAL","","DILAL","Diapensia lapponica var. lapponica","pincushion plant","","","","",""
"DILAO2","","DILAO2","Diapensia lapponica var. obovata","pincushion plant","","","","",""
"DIARR","","DIARR","Diarrhena","beakgrain","","","","",""
"DIAM","","DIAM","Diarrhena americana","American beakgrain","","","","","MD(E)MI(T)WI(E)"
"DIOB3","","DIOB3","Diarrhena obovata","obovate beakgrain","","","","","NY(E)PA(E)"
"DIBAE","","DIBAE","Dibaeis","","","","","",""
"DIAB2","","DIAB2","Dibaeis absoluta","","","","","",""
"DIBA4","","DIBA4","Dibaeis baeomyces","","","","","",""
"DICEN","","DICEN","Dicentra","bleeding heart","","","","",""
"DICA","","DICA","Dicentra canadensis","squirrel corn","","","","","CT(T)ME(T)NH(T)NJ(E)"
"DICU","","DICU","Dicentra cucullaria","dutchman's breeches","","","","",""
"DIEX","","DIEX","Dicentra eximia","turkey corn","","","","","MD(T)NJ(E)PA(E)"
"DIFO","","DIFO","Dicentra formosa","Pacific bleeding heart","","","","",""
"DIFOF","","DIFOF","Dicentra formosa ssp. formosa","Pacific bleeding heart","","","","",""
"DIFOO","","DIFOO","Dicentra formosa ssp. oregona","Oregon bleeding heart","","","","",""
"DINE","","DINE","Dicentra nevadensis","Sierra bleeding heart","","","","",""
"DIPA","","DIPA","Dicentra pauciflora","shorthorn steer's-head","","","","",""
"DIUN","","DIUN","Dicentra uniflora","longhorn steer's-head","","","","",""
"DICER","","DICER","Dicerandra","balm","","","","",""
"DITH3","","DITH3","Dicerandra ×thinicola","balm","","","","","FL(E)"
"DICH4","","DICH4","Dicerandra christmanii","Lake Wales balm","","","","E"," (E)FL(E)"
"DICO5","","DICO5","Dicerandra cornutissima","longspur balm","","","","E"," (E)FL(E)"
"DIDE5","","DIDE5","Dicerandra densiflora","Florida balm","","","","",""
"DIFR","","DIFR","Dicerandra frutescens","scrub balm","","","","E"," (E)FL(E)"
"DIFRF2","","DIFRF2","Dicerandra frutescens ssp. frutescens","scrub balm","","","","",""
"DIFRM","","DIFRM","Dicerandra frutescens ssp. modesta","scrub balm","","","","",""
"DIIM","","DIIM","Dicerandra immaculata","spotless balm","","","","E"," (E)FL(E)"
"DIIMS","","DIIMS","Dicerandra immaculata var. savannarum","spotless balm","","","","",""
"DILI3","","DILI3","Dicerandra linearifolia","coastal plain balm","","","","",""
"DILIL2","","DILIL2","Dicerandra linearifolia var. linearifolia","coastal plain balm","","","","",""
"DILIR","","DILIR","Dicerandra linearifolia var. robustior","coastal plain balm","","","","",""
"DIOD","","DIOD","Dicerandra odoratissima","rose balm","","","","",""
"DIRA2","","DIRA2","Dicerandra radfordiana","Radford's balm","","","","",""
"DICHA4","","DICHA4","Dichaea","leafystem orchid","","","","",""
"DIHY","","DIHY","Dichaea hystricina","arboreal leafystem orchid","","","","",""
"DILA23","","DILA23","Dichaea latifolia","mountain leafystem orchid","","","","",""
"DIPE9","","DIPE9","Dichaea pendula","Swartz's leafystem orchid","","","","",""
"DICHA","","DICHA","Dichaetophora","dichaetophora","","","","",""
"DICA2","","DICA2","Dichaetophora campestris","plainsdaisy","","","","",""
"DICHA2","","DICHA2","Dichanthelium","rosette grass","","","","",""
"DISC4","","DISC4","Dichanthelium ×scoparioides","Shasta panicgrass","","","","",""
"DIAC","","DIAC","Dichanthelium aciculare","needleleaf rosette grass","","","","","NJ (), TN ()"
"DIAC2","","DIAC2","Dichanthelium acuminatum","tapered rosette grass","","","","",""
"DIACA","","DIACA","Dichanthelium acuminatum var. acuminatum","tapered rosette grass","","","","",""
"DIACF","","DIACF","Dichanthelium acuminatum var. fasciculatum","western panicgrass","","","","","IN (), TN ()"
"DIACL","","DIACL","Dichanthelium acuminatum var. lindheimeri","Lindheimer panicgrass","","","","","OH ()"
"DIACS","","DIACS","Dichanthelium acuminatum var. sericeum","Pacific panicgrass","","","","",""
"DIACT2","","DIACT2","Dichanthelium acuminatum var. thermale","Geysers panicgrass","","","","","CA ()"
"DIACT","","DIACT","Dichanthelium acuminatum var. thurowii","Thurow's panicgrass","","","","",""
"DIBO","","DIBO","Dichanthelium boreale","northern panicgrass","","","","","IA (E), KY (SC)"
"DIBO2","","DIBO2","Dichanthelium boscii","Bosc's panicgrass","","","","",""
"DICL","","DICL","Dichanthelium clandestinum","deertongue","","","","",""
"DICO2","","DICO2","Dichanthelium commutatum","variable panicgrass","","","","","IL ()"
"DICO4","","DICO4","Dichanthelium consanguineum","blood panicgrass","","","","",""
"DICY","","DICY","Dichanthelium cynodon","tussock panicgrass","","","","",""
"DIDE4","","DIDE4","Dichanthelium depauperatum","starved panicgrass","","","","",""
"DIDI6","","DIDI6","Dichanthelium dichotomum","cypress panicgrass","","","","",""
"DIDIB","","DIDIB","Dichanthelium dichotomum var. breve","cypress panicgrass","","","","",""
"DIDID","","DIDID","Dichanthelium dichotomum var. dichotomum","cypress panicgrass","","","","","FL (), IL (), IN (), MA (), OH (), PA ()"
"DIDIE","","DIDIE","Dichanthelium dichotomum var. ensifolium","cypress panicgrass","","","","","TN ()"
"DIDIG","","DIDIG","Dichanthelium dichotomum var. glabrifolium","cypress panicgrass","","","","",""
"DIDIT","","DIDIT","Dichanthelium dichotomum var. tenue","cypress panicgrass","","","","",""
"DIER4","","DIER4","Dichanthelium erectifolium","erectleaf panicgrass","","","","",""
"DIHI2","","DIHI2","Dichanthelium hillebrandianum","bog rosette grass","","","","",""
"DIHI13","","DIHI13","Dichanthelium hirstii","Hirst's panicgrass","","","","","GA (), NC (), NJ ()"
"DIIS2","","DIIS2","Dichanthelium isachnoides","Maui rosette grass","","","","",""
"DIKO","","DIKO","Dichanthelium koolauense","Koolau rosette grass","","","","",""
"DILA8","","DILA8","Dichanthelium latifolium","broadleaf rosette grass","","","","",""
"DILA9","","DILA9","Dichanthelium laxiflorum","openflower rosette grass","","","","","PA ()"
"DILE2","","DILE2","Dichanthelium leibergii","Leiberg's panicum","","","","","IN (), MI (), NY (), OH (), PA ()"
"DILE4","","DILE4","Dichanthelium leucothrix","rough panicgrass","","","","","TN ()"
"DILI2","","DILI2","Dichanthelium linearifolium","slimleaf panicgrass","","","","","IA (T)"
"DILO4","","DILO4","Dichanthelium longiligulatum","coastal plain panicgrass","","","","",""
"DIMA5","","DIMA5","Dichanthelium malacophyllum","softleaf rosette grass","","","","",""
"DIME2","","DIME2","Dichanthelium meridionale","matting rosette grass","","","","","OH ()"
"DINO","","DINO","Dichanthelium nodatum","Sarita rosette grass","","","","",""
"DIOL","","DIOL","Dichanthelium oligosanthes","Heller's rosette grass","","","","",""
"DIOLO","","DIOLO","Dichanthelium oligosanthes var. oligosanthes","Heller's rosette grass","","","","","NY ()"
"DIOLS","","DIOLS","Dichanthelium oligosanthes var. scribnerianum","Scribner's rosette grass","","","","","NY (), PA ()"
"DIOV","","DIOV","Dichanthelium ovale","eggleaf rosette grass","","","","",""
"DIOVA","","DIOVA","Dichanthelium ovale var. addisonii","Addison's rosette grass","","","","","IN (), OH (), PA ()"
"DIOVO","","DIOVO","Dichanthelium ovale var. ovale","eggleaf rosette grass","","","","",""
"DIPE4","","DIPE4","Dichanthelium pedicellatum","cedar rosette grass","","","","",""
"DIRA","","DIRA","Dichanthelium ravenelii","Ravenel's rosette grass","","","","","IL ()"
"DISA5","","DISA5","Dichanthelium sabulorum","hemlock rosette grass","","","","",""
"DISAP","","DISAP","Dichanthelium sabulorum var. patulum","hemlock rosette grass","","","","","PA ()"
"DISAS2","","DISAS2","Dichanthelium sabulorum var. sabulorum","hemlock rosette grass","","","","",""
"DISAT","","DISAT","Dichanthelium sabulorum var. thinium","hemlock rosette grass","","","","","IL (), IN ()"
"DISC2","","DISC2","Dichanthelium scabriusculum","woolly rosette grass","","","","","MA (T)"
"DISC3","","DISC3","Dichanthelium scoparium","velvet panicum","","","","","IN ()"
"DISP2","","DISP2","Dichanthelium sphaerocarpon","roundseed panicgrass","","","","",""
"DISPI","","DISPI","Dichanthelium sphaerocarpon var. isophyllum","roundseed panicgrass","","","","","MI ()"
"DISPS3","","DISPS3","Dichanthelium sphaerocarpon var. sphaerocarpon","roundseed panicgrass","","","","","CT (), NH ()"
"DISP4","","DISP4","Dichanthelium spretum","Eaton's rosette grass","","","","","OH (), PA (), TN ()"
"DIST5","","DIST5","Dichanthelium strigosum","roughhair rosette grass","","","","",""
"DISTG","","DISTG","Dichanthelium strigosum var. glabrescens","roughhair rosette grass","","","","",""
"DISTL","","DISTL","Dichanthelium strigosum var. leucoblepharis","roughhair rosette grass","","","","",""
"DISTS","","DISTS","Dichanthelium strigosum var. strigosum","roughhair rosette grass","","","","",""
"DIVI7","","DIVI7","Dichanthelium villosissimum","whitehair rosette grass","","","","",""
"DIVIP","","DIVIP","Dichanthelium villosissimum var. praecocius","whitehair rosette grass","","","","","OH ()"
"DIVIV","","DIVIV","Dichanthelium villosissimum var. villosissimum","whitehair rosette grass","","","","","MA (), OH ()"
"DIWI5","","DIWI5","Dichanthelium wilcoxianum","fall rosette grass","","","","","IN ()"
"DIWR3","","DIWR3","Dichanthelium wrightianum","Wright's rosette grass","","","","","MA (SC)"
"DIXA","","DIXA","Dichanthelium xanthophysum","slender rosette grass","","","","","CT (), NJ (), PA ()"
"DICHA3","","DICHA3","Dichanthium","bluestem","","","","",""
"DIAN","","DIAN","Dichanthium annulatum","Kleberg's bluestem","","","","",""
"DIANA","","DIANA","Dichanthium annulatum var. annulatum","Diaz bluestem","","","","",""
"DIANP","","DIANP","Dichanthium annulatum var. papillosum","medio bluestem","","","","",""
"DIAR5","","DIAR5","Dichanthium aristatum","Angleton bluestem","","","","",""
"DIBL7","","DIBL7","Dichanthium bladhii","","","","","",""
"DICA35","","DICA35","Dichanthium caricosum","","","","","",""
"DISE5","","DISE5","Dichanthium sericeum","silky bluestem","","","","",""
"DITE10","","DITE10","Dichanthium tenue","slender bluestem","","","","",""
"DITE11","","DITE11","Dichanthium tenuiculum","","","","","",""
"DICHE","","DICHE","Dichelachne","plumegrass","","","","",""
"DICR7","","DICR7","Dichelachne crinita","clovenfoot plumegrass","","","","",""
"DIMI9","","DIMI9","Dichelachne micrantha","plumegrass","","","","",""
"DIMO11","","DIMO11","Dichelachne montana","","","","","",""
"DICHE2","","DICHE2","Dichelostemma","snakelily","","","","",""
"DIVE6","","DIVE6","Dichelostemma ×venustum","snakelily","","","","",""
"DICA14","","DICA14","Dichelostemma capitatum","bluedicks","","","","",""
"DICAC5","","DICAC5","Dichelostemma capitatum ssp. capitatum","bluedicks","","","","",""
"DICAP","","DICAP","Dichelostemma capitatum ssp. pauciflorum","bluedicks","","","","","AZ ()"
"DICO19","","DICO19","Dichelostemma congestum","ookow","","","","",""
"DIID","","DIID","Dichelostemma ida-maia","firecracker flower","","","","",""
"DIMU5","","DIMU5","Dichelostemma multiflorum","roundtooth snakelily","","","","",""
"DIVO","","DIVO","Dichelostemma volubile","twining snakelily","","","","",""
"DICHE3","","DICHE3","Dichelyma","dichelyma moss","","","","",""
"DICA28","","DICA28","Dichelyma capillaceum","dichelyma moss","","","","",""
"DIFA6","","DIFA6","Dichelyma falcatum","sickle dichelyma moss","","","","",""
"DIPA18","","DIPA18","Dichelyma pallescens","dichelyma moss","","","","",""
"DIUN6","","DIUN6","Dichelyma uncinatum","dichelyma moss","","","","",""
"DICHO2","","DICHO2","Dichodontium","dichodontium moss","","","","",""
"DIOL2","","DIOL2","Dichodontium olympicum","Olympic dichodontium moss","","","","",""
"DIPE7","","DIPE7","Dichodontium pellucidum","dichodontium moss","","","","",""
"DICHO","","DICHO","Dichondra","ponysfoot","","","","",""
"DIAR2","","DIAR2","Dichondra argentea","silver ponysfoot","","","","",""
