"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category"
"BURE2","","BURE2","Buellia retrovertens","","Buellia","","retrovertens","","","","","","","","","","","Tuck.","","","","","disc lichen","Lichen"
"BURU4","","BURU4","Buellia rubifaciens","","Buellia","","rubifaciens","","","","","","","","","","","R.C. Harris","","","","","disc lichen","Lichen"
"BUSA3","","BUSA3","Buellia saurina","","Buellia","","saurina","","","","","","","","","","","W.A. Weber","","","","","disc lichen","Lichen"
"BUSA4","","BUSA4","Buellia saxicola","","Buellia","","saxicola","","","","","","","","","","","de Lesd.","","","","","disc lichen","Lichen"
"BUSC3","","BUSC3","Buellia schaereri","","Buellia","","schaereri","","","","","","","","","","","De Not.","","","","","Schaerer's disc lichen","Lichen"
"BUSE4","","BUSE4","Buellia semitensis","","Buellia","","semitensis","","","","","","","","","","","Tuck.","","","","","disc lichen","Lichen"
"BUSI2","","BUSI2","Buellia silicicola","","Buellia","","silicicola","","","","","","","","","","","de Lesd.","","","","","disc lichen","Lichen"
"BUSM2","","BUSM2","Buellia smaragdula","","Buellia","","smaragdula","","","","","","","","","","","de Lesd.","","","","","disc lichen","Lichen"
"BUSP2","","BUSP2","Buellia spuria","","Buellia","","spuria","","","","","","","","","","","(Schaerer) Anzi","","","","","disc lichen","Lichen"
"BUST2","","BUST2","Buellia stellulata","","Buellia","","stellulata","","","","","","","","","","","(Taylor) Mudd","","","","","disc lichen","Lichen"
"BUST3","","BUST3","Buellia stigmaea","","Buellia","","stigmaea","","","","","","","","","","","Tuck.","","","","","disc lichen","Lichen"
"BUST4","","BUST4","Buellia stigmatea","","Buellia","","stigmatea","","","","","","","","","","","Körb.","","","","","disc lichen","Lichen"
"BUST5","","BUST5","Buellia stillingiana","","Buellia","","stillingiana","","","","","","","","","","","J. Steiner","","","","","Stilling's disc lichen","Lichen"
"BUTR2","","BUTR2","Buellia triphragmioides","","Buellia","","triphragmioides","","","","","","","","","","","Anzi","","","","","disc lichen","Lichen"
"BUTU","","BUTU","Buellia turgescens","","Buellia","","turgescens","","","","","","","","","","","Tuck.","","","","","disc lichen","Lichen"
"BUUB","","BUUB","Buellia uberior","","Buellia","","uberior","","","","","","","","","","","Anzi","","","","","disc lichen","Lichen"
"BUVE2","","BUVE2","Buellia vernicoma","","Buellia","","vernicoma","","","","","","","","","","","(Tuck.) Tuck.","","","","","disc lichen","Lichen"
"BUVI","","BUVI","Buellia vilis","","Buellia","","vilis","","","","","","","","","","","Th. Fr.","","","","","disc lichen","Lichen"
"BUWH","","BUWH","Buellia wheeleri","","Buellia","","wheeleri","","","","","","","","","","","R.C. Harris","","","","","Wheeler's disc lichen","Lichen"
"BUMI4","","BUMI4","Buelliella minimula","","Buelliella","","minimula","","","","","","","","","","","(Tuck.) Fink","","","","","buelliella lichen","Lichen"
"BUPH","","BUPH","Buelliella physciicola","","Buelliella","","physciicola","","","","","","","","","","","Poelt & Hafellner","","","","","","Lichen"
"BUTR3","","BUTR3","Buelliella trypethelii","","Buelliella","","trypethelii","","","","","","","","","","","(Tuck.) Fink","","","","","Trypethel's buelliella lichen","Lichen"
"BUCO4","","BUCO4","Bulbothrix confoederata","","Bulbothrix","","confoederata","","","","","","","","","","","(W.L. Culb.) Hale","","","","","Confederate bulbothrix lichen","Lichen"
"BUCO5","","BUCO5","Bulbothrix coronata","","Bulbothrix","","coronata","","","","","","","","","","","(Fée) Hale","","","","","crown bulbothrix lichen","Lichen"
"BUGO","","BUGO","Bulbothrix goebelii","","Bulbothrix","","goebelii","","","","","","","","","","","(Zenker) Hale","","","","","Goebel's bulbothrix lichen","Lichen"
"BUIS","","BUIS","Bulbothrix isidiza","","Bulbothrix","","isidiza","","","","","","","","","","","(Nyl.) Hale","","","","","bulbothrix lichen","Lichen"
"BULA7","","BULA7","Bulbothrix laevigatula","","Bulbothrix","","laevigatula","","","","","","","","","","","(Nyl.) Hale","","","","","bulbothrix lichen","Lichen"
"BUAS2","","BUAS2","Bullatina aspidota","","Bullatina","","aspidota","","","","","","","","","","","(Vain.) Vezda & Poelt","","","","","bullatina lichen","Lichen"
"BUME3","","BUME3","Bunodophoron melanocarpum","","Bunodophoron","","melanocarpum","","","","","","","","","","","(Sw.) Wedin","","","","","","Lichen"
"BYLE","","BYLE","Byssoloma leucoblepharum","","Byssoloma","","leucoblepharum","","","","","","","","","","","(Nyl.) Vain.","","","","","byssoloma lichen","Lichen"
"BYMA","","BYMA","Byssoloma marginatum","","Byssoloma","","marginatum","","","","","","","","","","","(Arnold) Serus.","","","","","","Lichen"
"BYME","","BYME","Byssoloma meadii","","Byssoloma","","meadii","","","","","","","","","","","(Tuck.) S. Ekman","","","","","","Lichen"
"BYPU","","BYPU","Byssoloma pubescens","","Byssoloma","","pubescens","","","","","","","","","","","Vezda ex R.C. Harris","","","","","","Lichen"
"BYSU","","BYSU","Byssoloma subdiscordans","","Byssoloma","","subdiscordans","","","","","","","","","","","(Nyl.) P. James","","","","","byssoloma lichen","Lichen"
"BYTR","","BYTR","Byssoloma tricholomum","","Byssoloma","","tricholomum","","","","","","","","","","","(Mont.) Zahlbr.","","","","","byssoloma lichen","Lichen"
"CAAB12","","CAAB12","Calicium abietinum","","Calicium","","abietinum","","","","","","","","","","","Pers.","","","","","spike lichen","Lichen"
"CAAD3","","CAAD3","Calicium adequatum","","Calicium","","adequatum","","","","","","","","","","","Nyl.","","","","","adequate spike lichen","Lichen"
"CAAD4","","CAAD4","Calicium adspersum","","Calicium","","adspersum","","","","","","","","","","","Pers.","","","","","spike lichen","Lichen"
"CACH26","","CACH26","Calicium chlorosporum","","Calicium","","chlorosporum","","","","","","","","","","","F. Wilson","","","","","spike lichen","Lichen"
"CACO62","","CACO62","Calicium corynellum","","Calicium","","corynellum","","","","","","","","","","","(Ach.) Ach.","","","","","spike lichen","Lichen"
"CAGL24","","CAGL24","Calicium glaucellum","","Calicium","","glaucellum","","","","","","","","","","","Ach.","","","","","spike lichen","Lichen"
"CAHY10","","CAHY10","Calicium hyperelloides","","Calicium","","hyperelloides","","","","","","","","","","","Nyl.","","","","","spike lichen","Lichen"
"CALE39","","CALE39","Calicium lenticulare","","Calicium","","lenticulare","","","","","","","","","","","Ach.","","","","","spike lichen","Lichen"
"CALE41","","CALE41","Calicium leucochlorum","","Calicium","","leucochlorum","","","","","","","","","","","Tuck.","","","","","spike lichen","Lichen"
"CAPA63","","CAPA63","Calicium parvum","","Calicium","","parvum","","","","","","","","","","","Tibell","","","","","spike lichen","Lichen"
"CAQU6","","CAQU6","Calicium quercinum","","Calicium","","quercinum","","","","","","","","","","","Pers.","","","","","spike lichen","Lichen"
"CASA21","","CASA21","Calicium salicinum","","Calicium","","salicinum","","","","","","","","","","","Pers.","","","","","spike lichen","Lichen"
"CATR20","","CATR20","Calicium trabinellum","","Calicium","","trabinellum","","","","","","","","","","","(Ach.) Ach.","","","","","spike lichen","Lichen"
"CAVI16","","CAVI16","Calicium viride","","Calicium","","viride","","","","","","","","","","","Pers.","","","","","spike lichen","Lichen"
"CAFU5","","CAFU5","Calopadia fusca","","Calopadia","","fusca","","","","","","","","","","","(Müll. Arg.) Vezda","","","","","calopadia lichen","Lichen"
"CAPU34","","CAPU34","Calopadia puiggarii","","Calopadia","","puiggarii","","","","","","","","","","","(Müll. Arg.) Vezda","","","","","Puiggar's calopadia lichen","Lichen"
"CAAD5","","CAAD5","Caloplaca adnexa","","Caloplaca","","adnexa","","","","","","","","","","","Vezda","","","","","orange lichen","Lichen"
"CAAH","","CAAH","Caloplaca ahtii","","Caloplaca","","ahtii","","","","","","","","","","","Sochting","","","","","","Lichen"
"CAAL26","","CAAL26","Caloplaca albovariegata","","Caloplaca","","albovariegata","","","","","","","","","","","(de Lesd.) Wetmore","","","","","variegated orange lichen","Lichen"
"CAAL28","","CAAL28","Caloplaca alcarum","","Caloplaca","","alcarum","","","","","","","","","","","Poelt","","","","","orange lichen","Lichen"
"CAAM24","","CAAM24","Caloplaca ammiospila","","Caloplaca","","ammiospila","","","","","","","","","","","(Wahlenb.) H. Olivier","","","","","orange lichen","Lichen"
"CAAP7","","CAAP7","Caloplaca approximata","","Caloplaca","","approximata","","","","","","","","","","","(Lynge) H. Magn.","","","","","approximate orange lichen","Lichen"
"CAAR35","","CAAR35","Caloplaca arenaria","","Caloplaca","","arenaria","","","","","","","","","","","(Pers.) Müll. Arg.","","","","","sandwort orange lichen","Lichen"
"CAAR36","","CAAR36","Caloplaca arizonica","","Caloplaca","","arizonica","","","","","","","","","","","H. Magn.","","","","","Arizona orange lichen","Lichen"
"CAAT17","","CAAT17","Caloplaca atroabla","","Caloplaca","","atroabla","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","Lichen"
"CAAT19","","CAAT19","Caloplaca atroflava","","Caloplaca","","atroflava","","","","","","","","","","","(Turner) Mong.","","","","","orange lichen","Lichen"
"CAAT20","","CAAT20","Caloplaca atrosanguinea","","Caloplaca","","atrosanguinea","","","","","","","","","","","(G. Merr.) Lamb","","","","","orange lichen","Lichen"
"CAAU17","","CAAU17","Caloplaca aurantia","","Caloplaca","","aurantia","","","","","","","","","","","(Pers.) Hellbom","","","","","orange lichen","Lichen"
"CABO13","","CABO13","Caloplaca bolacina","","Caloplaca","","bolacina","","","","","","","","","","","(Tuck.) H. Magn.","","","","","orange lichen","Lichen"
"CABO15","","CABO15","Caloplaca borealis","","Caloplaca","","borealis","","","","","","","","","","","(Vain.) Poelt","","","","","boreal orange lichen","Lichen"
"CABR33","","CABR33","Caloplaca brattiae","","Caloplaca","","brattiae","","","","","","","","","","","W.A. Weber","","","","","Bratt's orange lichen","Lichen"
"CABR43","","CABR43","Caloplaca brunneola","","Caloplaca","","brunneola","","","","","","","","","","","Wetmore","","","","","","Lichen"
"CACA60","","CACA60","Caloplaca californica","","Caloplaca","","californica","","","","","","","","","","","Zahlbr.","","","","","California orange lichen","Lichen"
"CACA62","","CACA62","Caloplaca camptidia","","Caloplaca","","camptidia","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","Lichen"
"CACA63","","CACA63","Caloplaca carolinae","","Caloplaca","","carolinae","","","","","","","","","","","H. Magn.","","","","","Carolina orange lichen","Lichen"
"CACA64","","CACA64","Caloplaca cascadensis","","Caloplaca","","cascadensis","","","","","","","","","","","H. Magn.","","","","","Cascade orange lichen","Lichen"
"CACA65","","CACA65","Caloplaca castellana","","Caloplaca","","castellana","","","","","","","","","","","(Rasanen) Poelt","","","","","orange lichen","Lichen"
"CACA66","","CACA66","Caloplaca catalinae","","Caloplaca","","catalinae","","","","","","","","","","","H. Magn.","","","","","Catalina orange lichen","Lichen"
"CACE6","","CACE6","Caloplaca celata","","Caloplaca","","celata","","","","","","","","","","","Th. Fr.","","","","","orange lichen","Lichen"
"CACE7","","CACE7","Caloplaca cerina","","Caloplaca","","cerina","","","","","","","","","","","(Ehrh. ex Hedwig) Th. Fr.","","","","","orange lichen","Lichen"
"CACH35","","CACH35","Caloplaca chlorina","","Caloplaca","","chlorina","","","","","","","","","","","(Flotow) H. Olivier","","","","","","Lichen"
"CACH29","","CACH29","Caloplaca chrysodeta","","Caloplaca","","chrysodeta","","","","","","","","","","","(Vain. ex Rasanen) Dombr.","","","","","","Lichen"
"CACH27","","CACH27","Caloplaca chrysophthalma","","Caloplaca","","chrysophthalma","","","","","","","","","","","Degel.","","","","","orange lichen","Lichen"
"CACI9","","CACI9","Caloplaca cinnabarina","","Caloplaca","","cinnabarina","","","","","","","","","","","(Ach.) Zahlbr.","","","","","cinnabar orange lichen","Lichen"
"CACI10","","CACI10","Caloplaca cirrochroa","","Caloplaca","","cirrochroa","","","","","","","","","","","(Ach.) Th. Fr.","","","","","orange lichen","Lichen"
"CACI11","","CACI11","Caloplaca citrina","","Caloplaca","","citrina","","","","","","","","","","","(Hoffm.) Th. Fr.","","","","","orange lichen","Lichen"
"CACL6","","CACL6","Caloplaca cladodes","","Caloplaca","","cladodes","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","Lichen"
"CACO63","","CACO63","Caloplaca coralloides","","Caloplaca","","coralloides","","","","","","","","","","","(Tuck.) Hulting","","","","","coral orange lichen","Lichen"
"CADA7","","CADA7","Caloplaca dakotensis","","Caloplaca","","dakotensis","","","","","","","","","","","Wetmore","","","","","","Lichen"
"CADE22","","CADE22","Caloplaca decipiens","","Caloplaca","","decipiens","","","","","","","","","","","(Arnold) Blomb. & Forss.","","","","","orange lichen","Lichen"
"CADI29","","CADI29","Caloplaca diphasia","","Caloplaca","","diphasia","","","","","","","","","","","(Tuck.) Wetmore","","","","","orange lichen","Lichen"
"CADI30","","CADI30","Caloplaca diphyodes","","Caloplaca","","diphyodes","","","","","","","","","","","(Nyl.) Jatta","","","","","orange lichen","Lichen"
"CADI33","","CADI33","Caloplaca discolor","","Caloplaca","","discolor","","","","","","","","","","","(Willey) Fink","","","","","two-color orange lichen","Lichen"
"CADI34","","CADI34","Caloplaca dispersa","","Caloplaca","","dispersa","","","","","","","","","","","de Lesd.","","","","","dispersed orange lichen","Lichen"
"CADU8","","CADU8","Caloplaca durietzii","","Caloplaca","","durietzii","","","","","","","","","","","Zahlbr.","","","","","Durietz's orange lichen","Lichen"
"CAEP4","","CAEP4","Caloplaca epiphyta","","Caloplaca","","epiphyta","","","","","","","","","","","Lynge","","","","","epiphytic orange lichen","Lichen"
"CAEP5","","CAEP5","Caloplaca epithallina","","Caloplaca","","epithallina","","","","","","","","","","","Lynge","","","","","orange lichen","Lichen"
"CAEP7","","CAEP7","Caloplaca epixantha","","Caloplaca","","epixantha","","","","","","","","","","","(Ach.) Sandst.","","","","","","Lichen"
"CAEU4","","CAEU4","Caloplaca eugyra","","Caloplaca","","eugyra","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","Lichen"
"CAEX13","","CAEX13","Caloplaca exsecuta","","Caloplaca","","exsecuta","","","","","","","","","","","(Nyl.) Dalla Torre & Sarnth.","","","","","orange lichen","Lichen"
"CAFE7","","CAFE7","Caloplaca feracissima","","Caloplaca","","feracissima","","","","","","","","","","","H. Magn.","","","","","orange lichen","Lichen"
"CAFE60","","CAFE60","Caloplaca ferruginea","","Caloplaca","","ferruginea","","","","","","","","","","","(Huds.) Th. Fr.","","","","","orange lichen","Lichen"
"CAFE8","","CAFE8","Caloplaca ferrugineofusca","","Caloplaca","","ferrugineofusca","","","","","","","","","","","(Vain.) H. Magn.","","","","","orange lichen","Lichen"
"CAFL38","","CAFL38","Caloplaca flavogranulosa","","Caloplaca","","flavogranulosa","","","","","","","","","","","Arup","","","","","","Lichen"
"CAFL30","","CAFL30","Caloplaca flavorubescens","","Caloplaca","","flavorubescens","","","","","","","","","","","(Huds.) J.R. Laundon","","","","","orange lichen","Lichen"
"CAFL31","","CAFL31","Caloplaca flavovirescens","","Caloplaca","","flavovirescens","","","","","","","","","","","(Wulfen) Dalla Torre & Sarnth.","","","","","orange lichen","Lichen"
"CAFL32","","CAFL32","Caloplaca floridana","","Caloplaca","","floridana","","","","","","","","","","","(Tuck.) S. Tucker","","","","","Florida orange lichen","Lichen"
"CAFR16","","CAFR16","Caloplaca fraudans","","Caloplaca","","fraudans","","","","","","","","","","","(Th. Fr.) H. Olivier","","","","","orange lichen","Lichen"
"CAFR17","","CAFR17","Caloplaca fraxinea","","Caloplaca","","fraxinea","","","","","","","","","","","Lamb","","","","","orange lichen","Lichen"
"CAFR21","","CAFR21","Caloplaca friesii","","Caloplaca","","friesii","","","","","","","","","","","H. Magn.","","","","","","Lichen"
"CAGA6","","CAGA6","Caloplaca galactophylla","","Caloplaca","","galactophylla","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","Lichen"
"CAGL30","","CAGL30","Caloplaca gloriae","","Caloplaca","","gloriae","","","","","","","","","","","Werner & Llimona","","","","","","Lichen"
"CAGR60","","CAGR60","Caloplaca granulosa","","Caloplaca","","granulosa","","","","","","","","","","","(Müll. Arg.) Jatta","","","","","granulose orange lichen","Lichen"
"CAGR27","","CAGR27","Caloplaca grimmiae","","Caloplaca","","grimmiae","","","","","","","","","","","(Nyl.) H. Olivier","","","","","grimmia orange lichen","Lichen"
"CAGR28","","CAGR28","Caloplaca groenlandica","","Caloplaca","","groenlandica","","","","","","","","","","","Lynge","","","","","Greenland orange lichen","Lichen"
"CAHE22","","CAHE22","Caloplaca herbidella","","Caloplaca","","herbidella","","","","","","","","","","","(Hue) H. Magn.","","","","","orange lichen","Lichen"
"CAHO19","","CAHO19","Caloplaca holocarpa","","Caloplaca","","holocarpa","","","","","","","","","","","(Hoffm. ex Ach.) M. Wade","","","","","orange lichen","Lichen"
"CAIG3","","CAIG3","Caloplaca ignea","","Caloplaca","","ignea","","","","","","","","","","","Arup","","","","","","Lichen"
"CAIM4","","CAIM4","Caloplaca impolita","","Caloplaca","","impolita","","","","","","","","","","","Arup","","","","","","Lichen"
"CAIN47","","CAIN47","Caloplaca inconspecta","","Caloplaca","","inconspecta","","","","","","","","","","","Arup","","","","","","Lichen"
"CAIN38","","CAIN38","Caloplaca insularis","","Caloplaca","","insularis","","","","","","","","","","","Poelt","","","","","island orange lichen","Lichen"
"CAIN39","","CAIN39","Caloplaca intermedia","","Caloplaca","","intermedia","","","","","","","","","","","(de Lesd.) Zahlbr.","","","","","intermediate orange lichen","Lichen"
"CAIR2","","CAIR2","Caloplaca irrubescens","","Caloplaca","","irrubescens","","","","","","","","","","","(Arnold) Zahlbr.","","","","","orange lichen","Lichen"
"CAJU","","CAJU","Caloplaca jungermanniae","","Caloplaca","","jungermanniae","","","","","","","","","","","(Vahl) Th. Fr.","","","","","Jungermann's orange lichen","Lichen"
"CALA61","","CALA61","Caloplaca lactea","","Caloplaca","","lactea","","","","","","","","","","","(A. Massal.) Zahlbr.","","","","","orange lichen","Lichen"
"CALI19","","CALI19","Caloplaca lithophila","","Caloplaca","","lithophila","","","","","","","","","","","H. Magn.","","","","","","Lichen"
"CALI17","","CALI17","Caloplaca litoricola","","Caloplaca","","litoricola","","","","","","","","","","","Brodo","","","","","orange lichen","Lichen"
"CALI18","","CALI18","Caloplaca livida","","Caloplaca","","livida","","","","","","","","","","","(Hepp) Jatta","","","","","orange lichen","Lichen"
"CALO13","","CALO13","Caloplaca lobulata","","Caloplaca","","lobulata","","","","","","","","","","","(Flörke) de Lesd.","","","","","","Lichen"
"CALU25","","CALU25","Caloplaca ludificans","","Caloplaca","","ludificans","","","","","","","","","","","Arup","","","","","","Lichen"
"CALU16","","CALU16","Caloplaca luteoalba","","Caloplaca","","luteoalba","","","","","","","","","","","(Turner) Th. Fr.","","","","","orange lichen","Lichen"
"CALU21","","CALU21","Caloplaca luteominia","","Caloplaca","","luteominia","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","Lichen"
"CAMA35","","CAMA35","Caloplaca marina","","Caloplaca","","marina","","","","","","","","","","","(Wedd.) Zahlbr.","","","","","orange lichen","Lichen"
"CAMI38","","CAMI38","Caloplaca microphyllina","","Caloplaca","","microphyllina","","","","","","","","","","","(Tuck.) Hasse","","","","","orange lichen","Lichen"
"CAMI39","","CAMI39","Caloplaca microthallina","","Caloplaca","","microthallina","","","","","","","","","","","(Wedd.) Zahlbr.","","","","","orange lichen","Lichen"
"CAMO26","","CAMO26","Caloplaca modesta","","Caloplaca","","modesta","","","","","","","","","","","(Zahlbr.) Fink","","","","","orange lichen","Lichen"
"CAMO27","","CAMO27","Caloplaca montana","","Caloplaca","","montana","","","","","","","","","","","de Lesd.","","","","","northern orange lichen","Lichen"
"CANE16","","CANE16","Caloplaca neonii","","Caloplaca","","neonii","","","","","","","","","","","de Lesd.","","","","","Neon's orange lichen","Lichen"
"CANE29","","CANE29","Caloplaca neotropica","","Caloplaca","","neotropica","","","","","","","","","","","Wetmore","","","","","","Lichen"
"CANI12","","CANI12","Caloplaca nivalis","","Caloplaca","","nivalis","","","","","","","","","","","(Körb.) Th. Fr.","","","","","orange lichen","Lichen"
"CANO5","","CANO5","Caloplaca novomexicana","","Caloplaca","","novomexicana","","","","","","","","","","","(Fink) ?, ined.?","","","","","New Mexico orange lichen","Lichen"
"CAOB10","","CAOB10","Caloplaca obliterans","","Caloplaca","","obliterans","","","","","","","","","","","(Nyl.) Blomb. & Forss.","","","","","orange lichen","Lichen"
"CAOB13","","CAOB13","Caloplaca oblongula","","Caloplaca","","oblongula","","","","","","","","","","","(H. Magn.) Wetmore","","","","","","Lichen"
"CAOB14","","CAOB14","Caloplaca obscurella","","Caloplaca","","obscurella","","","","","","","","","","","(Körb.) Th. Fr.","","","","","","Lichen"
"CAOR17","","CAOR17","Caloplaca oregona","","Caloplaca","","oregona","","","","","","","","","","","H. Magn.","","","","","Oregon orange lichen","Lichen"
"CAOR22","","CAOR22","Caloplaca oreicola","","Caloplaca","","oreicola","","","","","","","","","","","(Steiner) v.d. Boom & Breuss","","","","","","Lichen"
"CAOX5","","CAOX5","Caloplaca oxfordensis","","Caloplaca","","oxfordensis","","","","","","","","","","","Fink","","","","","Oxford orange lichen","Lichen"
"CAPA77","","CAPA77","Caloplaca parvula","","Caloplaca","","parvula","","","","","","","","","","","Wetmore","","","","","","Lichen"
"CAPE28","","CAPE28","Caloplaca peliophylla","","Caloplaca","","peliophylla","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","Lichen"
"CAPE29","","CAPE29","Caloplaca pelodella","","Caloplaca","","pelodella","","","","","","","","","","","(Nyl.) Hasse","","","","","orange lichen","Lichen"
"CAPH9","","CAPH9","Caloplaca phaeocarpella","","Caloplaca","","phaeocarpella","","","","","","","","","","","(Nyl.) Zahlbr.","","","","","orange lichen","Lichen"
"CAPI15","","CAPI15","Caloplaca pinicola","","Caloplaca","","pinicola","","","","","","","","","","","H. Magn.","","","","","orange lichen","Lichen"
"CAPO15","","CAPO15","Caloplaca pollinii","","Caloplaca","","pollinii","","","","","","","","","","","(A. Massal.) Jatta","","","","","Pollin's orange lichen","Lichen"
"CAQU7","","CAQU7","Caloplaca quercicola","","Caloplaca","","quercicola","","","","","","","","","","","H. Magn.","","","","","orange lichen","Lichen"
"CARO29","","CARO29","Caloplaca rosei","","Caloplaca","","rosei","","","","","","","","","","","Hasse","","","","","Rose's orange lichen","Lichen"
"CARU17","","CARU17","Caloplaca rubelliana","","Caloplaca","","rubelliana","","","","","","","","","","","(Ach.) Lojka","","","","","orange lichen","Lichen"
"CARU18","","CARU18","Caloplaca rubrofusca","","Caloplaca","","rubrofusca","","","","","","","","","","","(de Lesd.) ?, ined.?","","","","","orange lichen","Lichen"
"CASA23","","CASA23","Caloplaca saxicola","","Caloplaca","","saxicola","","","","","","","","","","","(Hoffm.) Nordin","","","","","orange lichen","Lichen"
"CASA24","","CASA24","Caloplaca saxifragarum","","Caloplaca","","saxifragarum","","","","","","","","","","","Poelt","","","","","orange lichen","Lichen"
"CASC24","","CASC24","Caloplaca schaereri","","Caloplaca","","schaereri","","","","","","","","","","","(Flörke) Zahlbr.","","","","","Schaerer's orange lichen","Lichen"
"CASC25","","CASC25","Caloplaca scopularis","","Caloplaca","","scopularis","","","","","","","","","","","(Nyl.) Lettau","","","","","orange lichen","Lichen"
"CASI13","","CASI13","Caloplaca sideritis","","Caloplaca","","sideritis","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","Lichen"
"CASI14","","CASI14","Caloplaca sinapisperma","","Caloplaca","","sinapisperma","","","","","","","","","","","(Lam. & DC.) Maheu & A. Gillet","","","","","orange lichen","Lichen"
"CASI15","","CASI15","Caloplaca sipeana","","Caloplaca","","sipeana","","","","","","","","","","","H. Magn.","","","","","orange lichen","Lichen"
"CASO11","","CASO11","Caloplaca sonorae","","Caloplaca","","sonorae","","","","","","","","","","","Wetmore","","","","","","Lichen"
"CASO6","","CASO6","Caloplaca sorocarpa","","Caloplaca","","sorocarpa","","","","","","","","","","","(Vain.) Zahlbr.","","","","","orange lichen","Lichen"
"CASP21","","CASP21","Caloplaca spaldingii","","Caloplaca","","spaldingii","","","","","","","","","","","Zahlbr.","","","","","Spalding's orange lichen","Lichen"
"CASP22","","CASP22","Caloplaca spitsbergensis","","Caloplaca","","spitsbergensis","","","","","","","","","","","H. Magn.","","","","","Spitsberg orange lichen","Lichen"
"CASQ3","","CASQ3","Caloplaca squamosa","","Caloplaca","","squamosa","","","","","","","","","","","(de Lesd.) Zahlbr.","","","","","orange lichen","Lichen"
"CAST43","","CAST43","Caloplaca stanfordensis","","Caloplaca","","stanfordensis","","","","","","","","","","","H. Magn.","","","","","Stanford orange lichen","Lichen"
"CAST54","","CAST54","Caloplaca stantonii","","Caloplaca","","stantonii","","","","","","","","","","","W.A. Weber ex Arup","","","","","","Lichen"
"CASU38","","CASU38","Caloplaca subnitida","","Caloplaca","","subnitida","","","","","","","","","","","(Malme) Zahlbr.","","","","","orange lichen","Lichen"
"CASU39","","CASU39","Caloplaca subpyraceella","","Caloplaca","","subpyraceella","","","","","","","","","","","(Nyl.) Zahlbr.","","","","","orange lichen","Lichen"
"CATE60","","CATE60","Caloplaca tetraspora","","Caloplaca","","tetraspora","","","","","","","","","","","(Nyl.) H. Olivier","","","","","orange lichen","Lichen"
"CATI4","","CATI4","Caloplaca tiroliensis","","Caloplaca","","tiroliensis","","","","","","","","","","","Zahlbr.","","","","","orange lichen","Lichen"
"CATO18","","CATO18","Caloplaca tominii","","Caloplaca","","tominii","","","","","","","","","","","Savicz","","","","","Tolmin's orange lichen","Lichen"
"CATO19","","CATO19","Caloplaca tornoensis","","Caloplaca","","tornoensis","","","","","","","","","","","H. Magn.","","","","","orange lichen","Lichen"
"CATR22","","CATR22","Caloplaca trachyphylla","","Caloplaca","","trachyphylla","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","Lichen"
"CAUL4","","CAUL4","Caloplaca ulmorum","","Caloplaca","","ulmorum","","","","","","","","","","","(Fink) Fink","","","","","orange lichen","Lichen"
"CAUR2","","CAUR2","Caloplaca urceolata","","Caloplaca","","urceolata","","","","","","","","","","","de Lesd.","","","","","orange lichen","Lichen"
"CAVA8","","CAVA8","Caloplaca variabilis","","Caloplaca","","variabilis","","","","","","","","","","","(Pers.) Müll. Arg.","","","","","variable orange lichen","Lichen"
"CAVE16","","CAVE16","Caloplaca velana","","Caloplaca","","velana","","","","","","","","","","","(A. Massal.) Du Rietz","","","","","orange lichen","Lichen"
"CAVE17","","CAVE17","Caloplaca verrucosa","","Caloplaca","","verrucosa","","","","","","","","","","","Hasse","","","","","orange lichen","Lichen"
"CAVE18","","CAVE18","Caloplaca verruculifera","","Caloplaca","","verruculifera","","","","","","","","","","","(Vain.) Zahlbr.","","","","","orange lichen","Lichen"
"CAVI17","","CAVI17","Caloplaca vicaria","","Caloplaca","","vicaria","","","","","","","","","","","H. Magn.","","","","","orange lichen","Lichen"
"CAVI18","","CAVI18","Caloplaca vitellinula","","Caloplaca","","vitellinula","","","","","","","","","","","(Nyl.) H. Olivier","","","","","orange lichen","Lichen"
"CAWE3","","CAWE3","Caloplaca wetmorei","","Caloplaca","","wetmorei","","","","","","","","","","","Nimis, Poelt & Tretiach","","","","","","Lichen"
"CAWR3","","CAWR3","Caloplaca wrightii","","Caloplaca","","wrightii","","","","","","","","","","","(Willey) Fink","","","","","Wright's orange lichen","Lichen"
