"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Kingdom"
"DAMA60","","DAMA60","Dactylina madreporiformis","","Dactylina","","madreporiformis","","","","","","","","","","","(Ach.) Tuck.","","","","","dactylina lichen","Lichen","Dactylina","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"DARA60","","DARA60","Dactylina ramulosa","","Dactylina","","ramulosa","","","","","","","","","","","(Hook.) Tuck.","","","","","dactylina lichen","Lichen","Dactylina","Parmeliaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"DACTY","","DACTY","Dactylis","","Dactylis","","","","","","","","","","","","","L.","","","","","orchardgrass","Monocot","Dactylis","Poaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DACTY2","","DACTY2","Dactyloctenium","","Dactyloctenium","","","","","","","","","","","","","Willd.","","","","","crowfoot grass","Monocot","Dactyloctenium","Poaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DACTY3","","DACTY3","Dactylorhiza","","Dactylorhiza","","","","","","","","","","","","","Neck. ex Nevski","","","","","keyflower","Monocot","Dactylorhiza","Orchidaceae","Orchidales","Liliidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DACTY5","","DACTY5","Dactylospora","","Dactylospora","","","","","","","","","","","","","Körb.","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAAM6","","DAAM6","Dactylospora amygdalariae","","Dactylospora","","amygdalariae","","","","","","","","","","","Triebel","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAAT","","DAAT","Dactylospora athallina","","Dactylospora","","athallina","","","","","","","","","","","(Müll. Arg.) Hafellner","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAAT2","","DAAT2","Dactylospora attendenda","","Dactylospora","","attendenda","","","","","","","","","","","(Nyl.) Arnold","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DADE3","","DADE3","Dactylospora deminuta","","Dactylospora","","deminuta","","","","","","","","","","","(Th. Fr.) Triebel","","","","","","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAGL5","","DAGL5","Dactylospora glaucomarioides","","Dactylospora","","glaucomarioides","","","","","","","","","","","(Willey ex Tuck.) Hafellner","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAIN3","","DAIN3","Dactylospora inquilina","","Dactylospora","","inquilina","","","","","","","","","","","(Tuck.) Hafellner","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DALO3","","DALO3","Dactylospora lobariella","","Dactylospora","","lobariella","","","","","","","","","","","(Nyl.) Hafellner","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAPA6","","DAPA6","Dactylospora parasitica","","Dactylospora","","parasitica","","","","","","","","","","","(Flörke ex Spreng.) Zopf","","","","","parasitic dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAPA8","","DAPA8","Dactylospora parellaria","","Dactylospora","","parellaria","","","","","","","","","","","(Nyl.) Arnold","","","","","","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAPE3","","DAPE3","Dactylospora pertusariicola","","Dactylospora","","pertusariicola","","","","","","","","","","","(Willey ex Tuck.) Hafellner","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAPU9","","DAPU9","Dactylospora purpurascens","","Dactylospora","","purpurascens","","","","","","","","","","","Triebel","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DASA4","","DASA4","Dactylospora saxatilis","","Dactylospora","","saxatilis","","","","","","","","","","","(Schaerer) Hafellner","","","","","dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAUR3","","DAUR3","Dactylospora urceolata","","Dactylospora","","urceolata","","","","","","","","","","","(Th. Fr.) Arnold","","","","","urceolate dactylospora lichen","Lichen","Dactylospora","Dactylosporaceae","Ascomycetes","","Ascomycetes","","Ascomycota","","","Fungi"
"DAHLI","","DAHLI","Dahlia","","Dahlia","","","","","","","","","","","","","Cav.","","","","","dahlia","Dicot","Dahlia","Asteraceae","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DALBE","","DALBE","Dalbergia","","Dalbergia","","","","","","","","","","","","","L. f.","","","","","Indian rosewood","Dicot","Dalbergia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DAPA7","","DAPA7","Dalbergia palauensis","","Dalbergia","","palauensis","","","","","","","","","","","Hosok.","","","","","dalbergia","Dicot","Dalbergia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DALEA","","DALEA","Dalea","","Dalea","","","","","","","","","","","","","L.","","","","","prairie clover","Dicot","Dalea","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DALEC","","DALEC","Dalechampia","","Dalechampia","","","","","","","","","","","","","L.","","","","","dalechampia","Dicot","Dalechampia","Euphorbiaceae","Euphorbiales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DALIB","","DALIB","Dalibarda","","Dalibarda","","","","","","","","","","","","","L.","","","","","dalibarda","Dicot","Dalibarda","Rosaceae","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DALTO","","DALTO","Daltonia","","Daltonia","","","","","","","","","","","","","Hook. & Taylor","","","","","daltonia moss","Moss","Daltonia","Daltoniaceae","Hookeriales","Bryidae","Bryopsida","Musci","Bryophyta","","","Plantae"
"DAMAS","","DAMAS","Damasonium","","Damasonium","","","","","","","","","","","","","Hill","","","","","damasonium","Monocot","Damasonium","Alismataceae","Alismatales","Alismatidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DAMNA","","DAMNA","Damnacanthus","","Damnacanthus","","","","","","","","","","","","","C.F. Gaertn.","","","","","","Dicot","Damnacanthus","Rubiaceae","Rubiales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DANAE","","DANAE","Danaea","","Danaea","","","","","","","","","","","","","Sm.","","","","","danafern","Fern","Danaea","Marattiaceae","Marattiales","","Filicopsida","","Pteridophyta","","Tracheobionta","Plantae"
"DANIE","","DANIE","Daniellia","","Daniellia","","","","","","","","","","","","","Benn.","","","","","daniellia","Dicot","Daniellia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DANTH","","DANTH","Danthonia","","Danthonia","","","","","","","","","","","","","DC.","","","","","oatgrass","Monocot","Danthonia","Poaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DANTH2","","DANTH2","Danthoniopsis","","Danthoniopsis","","","","","","","","","","","","","Stapf","","","","","","Monocot","Danthoniopsis","Poaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DAPHN2","","DAPHN2","Daphne","","Daphne","","","","","","","","","","","","","L.","","","","","daphne","Dicot","Daphne","Thymelaeaceae","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DAPHN","","DAPHN","Daphnopsis","","Daphnopsis","","","","","","","","","","","","","Mart.","","","","","daphnopsis","Dicot","Daphnopsis","Thymelaeaceae","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DARLI","","DARLI","Darlingtonia","","Darlingtonia","","","","","","","","","","","","","Torr.","","","","","California pitcherplant","Dicot","Darlingtonia","Sarraceniaceae","Nepenthales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DARME","","DARME","Darmera","","Darmera","","","","","","","","","","","","","Voss","","","","","darmera","Dicot","Darmera","Saxifragaceae","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DASIP","","DASIP","Dasiphora","","Dasiphora","","","","","","","","","","","","","Raf.","","","","","shrubby cinquefoil","Dicot","Dasiphora","Rosaceae","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DASIS","","DASIS","Dasistoma","","Dasistoma","","","","","","","","","","","","","Raf.","","","","","dasistoma","Dicot","Dasistoma","Scrophulariaceae","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DASYL","","DASYL","Dasylirion","","Dasylirion","","","","","","","","","","","","","Zucc.","","","","","sotol","Monocot","Dasylirion","Liliaceae","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DASYN","","DASYN","Dasynotus","","Dasynotus","","","","","","","","","","","","","I.M. Johnst.","","","","","whitethroat","Dicot","Dasynotus","Boraginaceae","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DASYO","","DASYO","Dasyochloa","","Dasyochloa","","","","","","","","","","","","","Willd. ex Rydb.","","","","","woollygrass","Monocot","Dasyochloa","Poaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DASYP","","DASYP","Dasypyrum","","Dasypyrum","","","","","","","","","","","","","(Coss. & Durieu) T. Dur.","","","","","mosquitograss","Monocot","Dasypyrum","Poaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DATIS","","DATIS","Datisca","","Datisca","","","","","","","","","","","","","L.","","","","","datisca","Dicot","Datisca","Datiscaceae","Violales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DATUR","","DATUR","Datura","","Datura","","","","","","","","","","","","","L.","","","","","jimsonweed","Dicot","Datura","Solanaceae","Solanales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DAUCO","","DAUCO","Daucosma","","Daucosma","","","","","","","","","","","","","Engelm. & A. Gray ex A. Gray","","","","","daucosma","Dicot","Daucosma","Apiaceae","Apiales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DAUCU","","DAUCU","Daucus","","Daucus","","","","","","","","","","","","","L.","","","","","wild carrot","Dicot","Daucus","Apiaceae","Apiales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DAVAL","","DAVAL","Davallia","","Davallia","","","","","","","","","","","","","Sm.","","","","","","Fern","Davallia","Davalliaceae","Polypodiales","","Filicopsida","","Pteridophyta","","Tracheobionta","Plantae"
"DECAN2","","DECAN2","Decaneuropsis","","Decaneuropsis","","","","","","","","","","","","","H. Rob. & Skvarla","","","","","","","Decaneuropsis","Asteraceae","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DECAS2","","DECAS2","Decaspermum","","Decaspermum","","","","","","","","","","","","","J.R. Forst. & G. Forst.","","","","","","Dicot","Decaspermum","Myrtaceae","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DECOD","","DECOD","Decodon","","Decodon","","","","","","","","","","","","","J.F. Gmel.","","","","","decodon","Dicot","Decodon","Lythraceae","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DECUM","","DECUM","Decumaria","","Decumaria","","","","","","","","","","","","","L.","","","","","decumaria","Dicot","Decumaria","Hydrangeaceae","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DEDEC","","DEDEC","Dedeckera","","Dedeckera","","","","","","","","","","","","","Reveal & J.T. Howell","","","","","July gold","Dicot","Dedeckera","Polygonaceae","Polygonales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DEERI2","","DEERI2","Deeringia","","Deeringia","","","","","","","","","","","","","R. Br.","","","","","","Dicot","Deeringia","Amaranthaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DEERI","","DEERI","Deeringothamnus","","Deeringothamnus","","","","","","","","","","","","","Small","","","","","false pawpaw","Dicot","Deeringothamnus","Annonaceae","Magnoliales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DEGEL","","DEGEL","Degelia","","Degelia","","","","","","","","","","","","","Arv. & D.J. Galloway","","","","","degelia lichen","Lichen","Degelia","Pannariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEPL","","DEPL","Degelia plumbea","","Degelia","","plumbea","","","","","","","","","","","(Lightf.) P.M. Jørg. & P. James","","","","","degelia lichen","Lichen","Degelia","Pannariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEINA2","","DEINA2","Deinandra","","Deinandra","","","","","","","","","","","","","Greene","","","","","tarweed","Dicot","Deinandra","Asteraceae","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DEIRE","","DEIRE","Deiregyne","","Deiregyne","","","","","","","","","","","","","Schltr.","","","","","lady's tresses","Monocot","Deiregyne","Orchidaceae","Orchidales","Liliidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DELAI2","","DELAI2","Delairea","","Delairea","","","","","","","","","","","","","Lem.","","","","","Cape-ivy","Dicot","Delairea","Asteraceae","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DELIS","","DELIS","Delissea","","Delissea","","","","","","","","","","","","","Gaudich.","","","","","delissea","Dicot","Delissea","Campanulaceae","Campanulales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DELON","","DELON","Delonix","","Delonix","","","","","","","","","","","","","Raf.","","","","","delonix","Dicot","Delonix","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DELOS","","DELOS","Delosperma","","Delosperma","","","","","","","","","","","","","N.E. Br.","","","","","delosperma","Dicot","Delosperma","Aizoaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DELPH","","DELPH","Delphinium","","Delphinium","","","","","","","","","","","","","L.","","","","","larkspur","Dicot","Delphinium","Ranunculaceae","Ranunculales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR5","","DENDR5","Dendranthema","","Dendranthema","","","","","","","","","","","","","(DC.) Des Moulins","","","","","arctic daisy","Dicot","Dendranthema","Asteraceae","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR9","","DENDR9","Dendriscocaulon","","Dendriscocaulon","","","","","","","","","","","","","Nyl.","","","","","dendriscocaulon lichen","Lichen","Dendriscocaulon","Lobariaceae","Peltigerales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEIN12","","DEIN12","Dendriscocaulon intricatulum","","Dendriscocaulon","","intricatulum","","","","","","","","","","","(Nyl.) Henssen","","","","","dendriscocaulon lichen","Lichen","Dendriscocaulon","Lobariaceae","Peltigerales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEUM3","","DEUM3","Dendriscocaulon umhausense","","Dendriscocaulon","","umhausense","","","","","","","","","","","(Auersw.) Degel.","","","","","","Lichen","Dendriscocaulon","Lobariaceae","Peltigerales","","Ascomycetes","","Ascomycota","","","Fungi"
"DENDR8","","DENDR8","Dendroalsia","","Dendroalsia","","","","","","","","","","","","","E. Britton","","","","","dendroalsia moss","Moss","Dendroalsia","Leucodontaceae","Leucodontales","Bryidae","Bryopsida","Musci","Bryophyta","","","Plantae"
"DENDR12","","DENDR12","Dendrobazzania","","Dendrobazzania","","","","","","","","","","","","","R.M. Schust. & W.B. Schofield","","","","","","Liverwort","Dendrobazzania","Lepidoziaceae","Jungermanniales","Jungermanniae","Hepaticopsida","Hepaticae","Hepaticophyta","","","Plantae"
"DENDR13","","DENDR13","Dendrobium","","Dendrobium","","","","","","","","","","","","","Sw.","","","","","dendrobium","Monocot","Dendrobium","Orchidaceae","Orchidales","Liliidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR7","","DENDR7","Dendrocalamus","","Dendrocalamus","","","","","","","","","","","","","Nees","","","","","","Monocot","Dendrocalamus","Poaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR16","","DENDR16","Dendrocnide","","Dendrocnide","","","","","","","","","","","","","Miq.","","","","","","Dicot","Dendrocnide","Urticaceae","Urticales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR11","","DENDR11","Dendrodochium","","Dendrodochium","","","","","","","","","","","","","Bonord","","","","","","Lichen","Dendrodochium","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"DESU6","","DESU6","Dendrodochium subeffusum","","Dendrodochium","","subeffusum","","","","","","","","","","","Ellis & Everh.","","","","","","Lichen","Dendrodochium","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"DENDR10","","DENDR10","Dendrographa","","Dendrographa","","","","","","","","","","","","","Darbish.","","","","","dendrographa lichen","Lichen","Dendrographa","Roccellaceae","Opegraphales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEAL5","","DEAL5","Dendrographa alectoroides","","Dendrographa","","alectoroides","","","","","","","","","","","Sundin & Tehler","","","","","","Lichen","Dendrographa","Roccellaceae","Opegraphales","","Ascomycetes","","Ascomycota","","","Fungi"
"DELE3","","DELE3","Dendrographa leucophaea","","Dendrographa","","leucophaea","","","","","","","","","","","(Tuck.) Darbish.","","","","","dendrographa lichen","Lichen","Dendrographa","Roccellaceae","Opegraphales","","Ascomycetes","","Ascomycota","","","Fungi"
"DENDR14","","DENDR14","Dendrolobium","","Dendrolobium","","","","","","","","","","","","","(Wight & Arn.) Benth.","","","","","","Dicot","Dendrolobium","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR","","DENDR","Dendromecon","","Dendromecon","","","","","","","","","","","","","Benth.","","","","","tree poppy","Dicot","Dendromecon","Papaveraceae","Papaverales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR2","","DENDR2","Dendropanax","","Dendropanax","","","","","","","","","","","","","Decne. & Planch.","","","","","dendropanax","Dicot","Dendropanax","Araliaceae","Apiales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR3","","DENDR3","Dendropemon","","Dendropemon","","","","","","","","","","","","","(Blume) Schult. & Schult. f.","","","","","leechbush","Dicot","Dendropemon","Loranthaceae","Santalales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR4","","DENDR4","Dendrophthora","","Dendrophthora","","","","","","","","","","","","","Eichl.","","","","","tree destroyer","Dicot","Dendrophthora","Loranthaceae","Santalales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENDR15","","DENDR15","Dendrophylax","","Dendrophylax","","","","","","","","","","","","","Rchb.","","","","","ghost orchid","Monocot","Dendrophylax","Orchidaceae","Orchidales","Liliidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DENNS","","DENNS","Dennstaedtia","","Dennstaedtia","","","","","","","","","","","","","Bernh.","","","","","hayscented fern","Fern","Dennstaedtia","Dennstaedtiaceae","Polypodiales","","Filicopsida","","Pteridophyta","","Tracheobionta","Plantae"
"DENTE","","DENTE","Dentella","","Dentella","","","","","","","","","","","","","J.R. Forst. & G. Forst.","","","","","","Dicot","Dentella","Rubiaceae","Rubiales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DEPAR","","DEPAR","Deparia","","Deparia","","","","","","","","","","","","","Hook. & Grev.","","","","","false spleenwort","Fern","Deparia","Dryopteridaceae","Polypodiales","","Filicopsida","","Pteridophyta","","Tracheobionta","Plantae"
"DERMA2","","DERMA2","Dermatocarpon","","Dermatocarpon","","","","","","","","","","","","","Eschw.","","","","","silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEAR60","","DEAR60","Dermatocarpon arnoldianum","","Dermatocarpon","","arnoldianum","","","","","","","","","","","Degel.","","","","","Arnold's silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEIN60","","DEIN60","Dermatocarpon intestiniforme","","Dermatocarpon","","intestiniforme","","","","","","","","","","","(Körb.) Hasse","","","","","intestine silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DELI5","","DELI5","Dermatocarpon linkolae","","Dermatocarpon","","linkolae","","","","","","","","","","","Rasanan","","","","","","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DELO2","","DELO2","Dermatocarpon lorenzianum","","Dermatocarpon","","lorenzianum","","","","","","","","","","","Anders","","","","","","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DELU60","","DELU60","Dermatocarpon luridum","","Dermatocarpon","","luridum","","","","","","","","","","","(With.) J.R. Laundon","","","","","silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEMI60","","DEMI60","Dermatocarpon miniatum","","Dermatocarpon","","miniatum","","","","","","","","","","","(L.) W. Mann","","","","","silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEMO3","","DEMO3","Dermatocarpon moulinsii","","Dermatocarpon","","moulinsii","","","","","","","","","","","(Mont.) Zahlbr.","","","","","Moulins' silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DERE60","","DERE60","Dermatocarpon reticulatum","","Dermatocarpon","","reticulatum","","","","","","","","","","","H. Magn.","","","","","reticulate silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DERI60","","DERI60","Dermatocarpon rivulorum","","Dermatocarpon","","rivulorum","","","","","","","","","","","(Arnold) Dalla Torre & Sarnth.","","","","","silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DESA2","","DESA2","Dermatocarpon saxicola","","Dermatocarpon","","saxicola","","","","","","","","","","","(de Lesd.) ?, ined.?","","","","","silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DEVE3","","DEVE3","Dermatocarpon vellereum","","Dermatocarpon","","vellereum","","","","","","","","","","","Zschacke","","","","","silverskin lichen","Lichen","Dermatocarpon","Verrucariaceae","Verrucariales","","Ascomycetes","","Ascomycota","","","Fungi"
"DERMI","","DERMI","Dermiscellum","","Dermiscellum","","","","","","","","","","","","","Hafellner, H. Mayrh. & Poelt","","","","","dermiscellum lichen","Lichen","Dermiscellum","Physciaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"DECA16","","DECA16","Dermiscellum catawbense","","Dermiscellum","","catawbense","","","","","","","","","","","(Willey) Hafellner & Poelt","","","","","Catawba dermiscellum lichen","Lichen","Dermiscellum","Physciaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"DERRI","","DERRI","Derris","","Derris","","","","","","","","","","","","","Lour.","","","","","derris","Dicot","Derris","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DEEL3","","DEEL3","Derris elliptica","","Derris","","elliptica","","","","","","","","","","","(Wall.) Benth.","","","","","derris","Dicot","Derris","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DESCH","","DESCH","Deschampsia","","Deschampsia","","","","","","","","","","","","","P. Beauv.","","","","","hairgrass","Monocot","Deschampsia","Poaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DESCU","","DESCU","Descurainia","","Descurainia","","","","","","","","","","","","","Webb & Bethel.","","","","","tansymustard","Dicot","Descurainia","Brassicaceae","Capparales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DESFO","","DESFO","Desfontainia","","Desfontainia","","","","","","","","","","","","","Ruiz & Pav.","","","","","taique","Dicot","Desfontainia","Loganiaceae","Gentianales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DESMA","","DESMA","Desmanthus","","Desmanthus","","","","","","","","","","","","","Willd.","","","","","bundleflower","Dicot","Desmanthus","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"DESMA3","","DESMA3","Desmatodon","","Desmatodon","","","","","","","","","","","","","Brid.","","","","","desmatodon moss","Moss","Desmatodon","Pottiaceae","Pottiales","Bryidae","Bryopsida","Musci","Bryophyta","","","Plantae"
"DESMO","","DESMO","Desmodium","","Desmodium","","","","","","","","","","","","","Desv.","","","","","ticktrefoil","Dicot","Desmodium","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
