"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Kingdom"
"ACAN4","","ACAN4","Acacia anegadensis","","Acacia","","anegadensis","","","","","","","","","","","Britton [excluded]","","","","","blackbrush wattle","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACAN","","ACAN","Acacia angustissima","","Acacia","","angustissima","","","","","","","","","","","(Mill.) Kuntze","","","","","prairie acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACAR12","","ACAR12","Acacia arenaria","","Acacia","","arenaria","","","","","","","","","","","Schinz","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACBE","","ACBE","Acacia berlandieri","","Acacia","","berlandieri","","","","","","","","","","","Benth.","","","","","guajillo","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACCA21","","ACCA21","Acacia catechu","","Acacia","","catechu","","","","","","","","","","","(L. f.) Willd. [excluded]","","","","","black cutch","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACCA35","","ACCA35","Acacia caven","","Acacia","","caven","","","","","","","","","","","(Molina) Molina","","","","","Roman-cassie","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACCH","","ACCH","Acacia choriophylla","","Acacia","","choriophylla","","","","","","","","","","","Benth.","","","","","cinnecord","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACCO24","","ACCO24","Acacia collinsii","","Acacia","","collinsii","","","","","","","","","","","Saff.","","","","","bull horn acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACCO2","","ACCO2","Acacia constricta","","Acacia","","constricta","","","","","","","","","","","Benth.","","","","","whitethorn acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACCO5","","ACCO5","Acacia cornigera","","Acacia","","cornigera","","","","","","","","","","","(L.) Willd.","","","","","bullhorn wattle","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACDA5","","ACDA5","Acacia davyi","","Acacia","","davyi","","","","","","","","","","","N.E. Br.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACEB2","","ACEB2","Acacia eburnea","","Acacia","","eburnea","","","","","","","","","","","(L. f.) Willd.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACER5","","ACER5","Acacia erubescens","","Acacia","","erubescens","","","","","","","","","","","Welw. ex Oliv.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACFA","","ACFA","Acacia farnesiana","","Acacia","","farnesiana","","","","","","","","","","","(L.) Willd.","","","","","sweet acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACGA3","","ACGA3","Acacia galpinii","","Acacia","","galpinii","","","","","","","","","","","Burtt Davy","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACGE7","","ACGE7","Acacia gerrardii","","Acacia","","gerrardii","","","","","","","","","","","Benth.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACGL4","","ACGL4","Acacia glauca","","Acacia","","glauca","","","","","","","","","","","(L.) Moench","","","","","acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACGO2","","ACGO2","Acacia goetzei","","Acacia","","goetzei","","","","","","","","","","","Harms","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACGR","","ACGR","Acacia greggii","","Acacia","","greggii","","","","","","","","","","","A. Gray","","","","","catclaw acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACHE8","","ACHE8","Acacia hebeclada","","Acacia","","hebeclada","","","","","","","","","","","DC.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACHO4","","ACHO4","Acacia horrida","","Acacia","","horrida","","","","","","","","","","","(L.) Willd.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACKA2","","ACKA2","Acacia karroo","","Acacia","","karroo","","","","","","","","","","","Hayne","","","","","karroothorn","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACMA","","ACMA","Acacia macracantha","","Acacia","","macracantha","","","","","","","","","","","Humb. & Bonpl. ex Willd.","","","","","porknut","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACME8","","ACME8","Acacia mellifera","","Acacia","","mellifera","","","","","","","","","","","(Vahl) Benth.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACMI","","ACMI","Acacia millefolia","","Acacia","","millefolia","","","","","","","","","","","S. Watson","","","","","milfoil wattle","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACMU","","ACMU","Acacia muricata","","Acacia","","muricata","","","","","","","","","","","(L.) Willd.","","","","","spineless wattle","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACNE4","","ACNE4","Acacia neovernicosa","","Acacia","","neovernicosa","","","","","","","","","","","Isely","","","","","viscid acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACNI8","","ACNI8","Acacia nigrescens","","Acacia","","nigrescens","","","","","","","","","","","Oliv.","","","","","knobthorn","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACNI2","","ACNI2","Acacia nilotica","","Acacia","","nilotica","","","","","","","","","","","(L.) Willd. ex Delile","","","","","gum arabic tree","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACPA15","","ACPA15","Acacia pachyceras","","Acacia","","pachyceras","","","","","","","","","","","Sw.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACPE9","","ACPE9","Acacia pennatula","","Acacia","","pennatula","","","","","","","","","","","(Schltdl. & Cham.) Benth.","","","","","fern-leaf acacia","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
