"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","PLANTS Floristic Area","State and Province","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Duration","Growth Habit","Native Status","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status","National Wetland Indicator Status","Image Gallery","Fact Sheets","Plant Guides","Characteristics Data","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"CAPA77","","CAPA77","Caloplaca parvula","","Caloplaca","","parvula","","","","","","","","","","","Wetmore","","","","","","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","MN(E)","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAPE28","","CAPE28","Caloplaca peliophylla","","Caloplaca","","peliophylla","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAPE29","","CAPE29","Caloplaca pelodella","","Caloplaca","","pelodella","","","","","","","","","","","(Nyl.) Hasse","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAPH9","","CAPH9","Caloplaca phaeocarpella","","Caloplaca","","phaeocarpella","","","","","","","","","","","(Nyl.) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAPI15","","CAPI15","Caloplaca pinicola","","Caloplaca","","pinicola","","","","","","","","","","","H. Magn.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAPO15","","CAPO15","Caloplaca pollinii","","Caloplaca","","pollinii","","","","","","","","","","","(A. Massal.) Jatta","","","","","Pollin's orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAQU7","","CAQU7","Caloplaca quercicola","","Caloplaca","","quercicola","","","","","","","","","","","H. Magn.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARO29","","CARO29","Caloplaca rosei","","Caloplaca","","rosei","","","","","","","","","","","Hasse","","","","","Rose's orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARU17","","CARU17","Caloplaca rubelliana","","Caloplaca","","rubelliana","","","","","","","","","","","(Ach.) Lojka","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARU18","","CARU18","Caloplaca rubrofusca","","Caloplaca","","rubrofusca","","","","","","","","","","","(de Lesd.) ?, ined.?","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASA23","","CASA23","Caloplaca saxicola","","Caloplaca","","saxicola","","","","","","","","","","","(Hoffm.) Nordin","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASA24","","CASA24","Caloplaca saxifragarum","","Caloplaca","","saxifragarum","","","","","","","","","","","Poelt","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASC24","","CASC24","Caloplaca schaereri","","Caloplaca","","schaereri","","","","","","","","","","","(Flörke) Zahlbr.","","","","","Schaerer's orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASC25","","CASC25","Caloplaca scopularis","","Caloplaca","","scopularis","","","","","","","","","","","(Nyl.) Lettau","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASI13","","CASI13","Caloplaca sideritis","","Caloplaca","","sideritis","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASI14","","CASI14","Caloplaca sinapisperma","","Caloplaca","","sinapisperma","","","","","","","","","","","(Lam. & DC.) Maheu & A. Gillet","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASI15","","CASI15","Caloplaca sipeana","","Caloplaca","","sipeana","","","","","","","","","","","H. Magn.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASO11","","CASO11","Caloplaca sonorae","","Caloplaca","","sonorae","","","","","","","","","","","Wetmore","","","","","","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASO6","","CASO6","Caloplaca sorocarpa","","Caloplaca","","sorocarpa","","","","","","","","","","","(Vain.) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASP21","","CASP21","Caloplaca spaldingii","","Caloplaca","","spaldingii","","","","","","","","","","","Zahlbr.","","","","","Spalding's orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASP22","","CASP22","Caloplaca spitsbergensis","","Caloplaca","","spitsbergensis","","","","","","","","","","","H. Magn.","","","","","Spitsberg orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASQ3","","CASQ3","Caloplaca squamosa","","Caloplaca","","squamosa","","","","","","","","","","","(de Lesd.) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAST43","","CAST43","Caloplaca stanfordensis","","Caloplaca","","stanfordensis","","","","","","","","","","","H. Magn.","","","","","Stanford orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAST54","","CAST54","Caloplaca stantonii","","Caloplaca","","stantonii","","","","","","","","","","","W.A. Weber ex Arup","","","","","","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASU38","","CASU38","Caloplaca subnitida","","Caloplaca","","subnitida","","","","","","","","","","","(Malme) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASU39","","CASU39","Caloplaca subpyraceella","","Caloplaca","","subpyraceella","","","","","","","","","","","(Nyl.) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CATE60","","CATE60","Caloplaca tetraspora","","Caloplaca","","tetraspora","","","","","","","","","","","(Nyl.) H. Olivier","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CATI4","","CATI4","Caloplaca tiroliensis","","Caloplaca","","tiroliensis","","","","","","","","","","","Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CATO18","","CATO18","Caloplaca tominii","","Caloplaca","","tominii","","","","","","","","","","","Savicz","","","","","Tolmin's orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","Photo","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CATO19","","CATO19","Caloplaca tornoensis","","Caloplaca","","tornoensis","","","","","","","","","","","H. Magn.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CATR22","","CATR22","Caloplaca trachyphylla","","Caloplaca","","trachyphylla","","","","","","","","","","","(Tuck.) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","Photo","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAUL4","","CAUL4","Caloplaca ulmorum","","Caloplaca","","ulmorum","","","","","","","","","","","(Fink) Fink","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAUR2","","CAUR2","Caloplaca urceolata","","Caloplaca","","urceolata","","","","","","","","","","","de Lesd.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAVA8","","CAVA8","Caloplaca variabilis","","Caloplaca","","variabilis","","","","","","","","","","","(Pers.) Müll. Arg.","","","","","variable orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAVE16","","CAVE16","Caloplaca velana","","Caloplaca","","velana","","","","","","","","","","","(A. Massal.) Du Rietz","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAVE17","","CAVE17","Caloplaca verrucosa","","Caloplaca","","verrucosa","","","","","","","","","","","Hasse","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAVE18","","CAVE18","Caloplaca verruculifera","","Caloplaca","","verruculifera","","","","","","","","","","","(Vain.) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAVI17","","CAVI17","Caloplaca vicaria","","Caloplaca","","vicaria","","","","","","","","","","","H. Magn.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAVI18","","CAVI18","Caloplaca vitellinula","","Caloplaca","","vitellinula","","","","","","","","","","","(Nyl.) H. Olivier","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAWE3","","CAWE3","Caloplaca wetmorei","","Caloplaca","","wetmorei","","","","","","","","","","","Nimis, Poelt & Tretiach","","","","","","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAWR3","","CAWR3","Caloplaca wrightii","","Caloplaca","","wrightii","","","","","","","","","","","(Willey) Fink","","","","","Wright's orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAXA3","","CAXA3","Caloplaca xanthostigmoidea","","Caloplaca","","xanthostigmoidea","","","","","","","","","","","(Rasanen) Zahlbr.","","","","","orange lichen","NA (L48)","","Lichen","Caloplaca","Teloschistaceae","Teloschistales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CABR42","","CABR42","Campnospera brevipetiolata","","Campnospera","","brevipetiolata","","","","","","","","","","","Volkens","","","","","","","","Dicot","Campnospera","Anacardiaceae","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CACO64","","CACO64","Candelaria concolor","","Candelaria","","concolor","","","","","","","","","","","(Dicks.) Stein","","","","","lemon lichen","NA (L48)","","Lichen","Candelaria","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAFI11","","CAFI11","Candelaria fibrosa","","Candelaria","","fibrosa","","","","","","","","","","","(Fr.) Müll. Arg.","","","","","lemon lichen","NA (L48)","","Lichen","Candelaria","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAAN24","","CAAN24","Candelariella antennaria","","Candelariella","","antennaria","","","","","","","","","","","Rasanen","","","","","pussytoes eggyolk lichen","NA (L48)","","Lichen","Candelariella","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAAR37","","CAAR37","Candelariella arctica","","Candelariella","","arctica","","","","","","","","","","","(Körb.) R. Sant.","","","","","arctic eggyolk lichen","NA (L48)","","Lichen","Candelariella","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAAT60","","CAAT60","Candelariella athallina","","Candelariella","","athallina","","","","","","","","","","","(Wedd.) Du Rietz","","","","","eggyolk lichen","NA (L48)","","Lichen","Candelariella","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAAU60","","CAAU60","Candelariella aurella","","Candelariella","","aurella","","","","","","","","","","","(Hoffm.) Zahlbr.","","","","","eggyolk lichen","NA (L48)","","Lichen","Candelariella","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CACA67","","CACA67","Candelariella canadensis","","Candelariella","","canadensis","","","","","","","","","","","H. Magn.","","","","","Canada eggyolk lichen","NA (L48)","","Lichen","Candelariella","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CACI12","","CACI12","Candelariella citrina","","Candelariella","","citrina","","","","","","","","","","","de Lesd.","","","","","eggyolk lichen","NA (L48)","","Lichen","Candelariella","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CACO77","","CACO77","Candelariella coralliza","","Candelariella","","coralliza","","","","","","","","","","","(Nyl.) H. Magn.","","","","","","NA (L48)","","Lichen","Candelariella","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CADE23","","CADE23","Candelariella deflexa","","Candelariella","","deflexa","","","","","","","","","","","(Nyl.) Zahlbr.","","","","","deflexed eggyolk lichen","NA (L48)","","Lichen","Candelariella","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CADI35","","CADI35","Candelariella dispersa","","Candelariella","","dispersa","","","","","","","","","","","(Rasanen) Hakul.","","","","","dispersed eggyolk lichen","NA (L48)","","Lichen","Candelariella","Candelariaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
