"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","PLANTS Floristic Area","State and Province","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Duration","Growth Habit","Native Status","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status","National Wetland Indicator Status","Image Gallery","Fact Sheets","Plant Guides","Characteristics Data","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"ACAB2","","ACAB2","Acacia abyssinica","","Acacia","","abyssinica","","","","","","","","","","","Hochst. ex Benth.","","","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACAN4","","ACAN4","Acacia anegadensis","","Acacia","","anegadensis","","","","","","","","","","","Britton [excluded]","","","","","blackbrush wattle","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Perennial","Tree","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACAN","","ACAN","Acacia angustissima","","Acacia","","angustissima","","","","","","","","","","","(Mill.) Kuntze","","","","","prairie acacia","NA (L48)","USA (AR, AZ, FL, KS, LA, MO, NM, OK, TX)","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Perennial","Subshrub, Forb/herb","L48(N)","","","","","FL(E)","","Photo","../factsheet/pdf/fs_acan.pdf","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACAR12","","ACAR12","Acacia arenaria","","Acacia","","arenaria","","","","","","","","","","","Schinz","","","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACBE","","ACBE","Acacia berlandieri","","Acacia","","berlandieri","","","","","","","","","","","Benth.","","","","","guajillo","NA (L48)","USA (TX)","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Perennial","Tree, Shrub","L48(N)","","","","","","","Photo","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCA21","","ACCA21","Acacia catechu","","Acacia","","catechu","","","","","","","","","","","(L. f.) Willd. [excluded]","","","","","black cutch","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","","","","","","","","","","Photo","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCA35","","ACCA35","Acacia caven","","Acacia","","caven","","","","","","","","","","","(Molina) Molina","","","","","Roman-cassie","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCH","","ACCH","Acacia choriophylla","","Acacia","","choriophylla","","","","","","","","","","","Benth.","","","","","cinnecord","NA (L48)","USA (FL)","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Perennial","Tree, Shrub","L48(N)","","","","","FL(E)","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCO24","","ACCO24","Acacia collinsii","","Acacia","","collinsii","","","","","","","","","","","Saff.","","","","","bull horn acacia","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","","","","","","","","","","Photo","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCO2","","ACCO2","Acacia constricta","","Acacia","","constricta","","","","","","","","","","","Benth.","","","","","whitethorn acacia","NA (L48)","USA (AZ, MD, NM, TX, VA)","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Perennial","Tree, Shrub","L48(N)","","","","","","","Photo","","","No","Spring and Summer","","None","Medium","No","No","No","Yellow","Yes","Green","Porous","Porous","Fine","Brown","Yes","Multiple Stem","Slow","6","9.0","No","No","Moderate","No","Low","Yes","Erect","Slight","Yes","Yes","No","None","High","No","High","Low","High","250","High","Low","7.0","8.5","300","700","4","20","12","Medium","Intolerant","-13","Late Spring","Field Collections Only","High","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","23811","Moderate","High","No","None","No","No","No","","No","No","No","Low","","Yes","No","Medium","No","No"
