"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","Class","Division","Kingdom"
"ARHO3","","ARHO3","Arctostaphylos hookeri","","Arctostaphylos","","hookeri","","","","","","","","","","","G. Don","","","","","Hooker's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARHOF","","ARHOF","Arctostaphylos hookeri ssp. franciscana","","Arctostaphylos","","hookeri","ssp.","","franciscana","","","","","","","","G. Don","(Eastw.) Munz","","","","Franciscan manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARHOH","","ARHOH","Arctostaphylos hookeri ssp. hearstiorum","","Arctostaphylos","","hookeri","ssp.","","hearstiorum","","","","","","","","G. Don","(Hoover & J.B. Roof) P.V. Wells","","","","Hearst's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARHOH4","","ARHOH4","Arctostaphylos hookeri ssp. hookeri","","Arctostaphylos","","hookeri","ssp.","","hookeri","","","","","","","","G. Don","G. Don","","","","Hooker's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARHOM","","ARHOM","Arctostaphylos hookeri ssp. montana","","Arctostaphylos","","hookeri","ssp.","","montana","","","","","","","","G. Don","(Eastw.) P.V. Wells","","","","Mt. Tamalpais manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARHOR2","","ARHOR2","Arctostaphylos hookeri ssp. ravenii","","Arctostaphylos","","hookeri","ssp.","","ravenii","","","","","","","","G. Don","P.V. Wells","","","","Presidio manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARHO7","","ARHO7","Arctostaphylos hooveri","","Arctostaphylos","","hooveri","","","","","","","","","","","P.V. Wells","","","","","Hoover's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARIM","","ARIM","Arctostaphylos imbricata","","Arctostaphylos","","imbricata","","","","","","","","","","","Eastw.","","","","","San Bruno Mountain manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARIN2","","ARIN2","Arctostaphylos insularis","","Arctostaphylos","","insularis","","","","","","","","","","","Greene ex Parry","","","","","island manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARKL","","ARKL","Arctostaphylos klamathensis","","Arctostaphylos","","klamathensis","","","","","","","","","","","S.W. Edwards, Keeler-Wolf & W. Knight","","","","","Klamath manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARLU4","","ARLU4","Arctostaphylos luciana","","Arctostaphylos","","luciana","","","","","","","","","","","P.V. Wells","","","","","Santa Lucia manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMA31","","ARMA31","Arctostaphylos malloryi","","Arctostaphylos","","malloryi","","","","","","","","","","","(W. Knight & Gankin) P.V. Wells","","","","","Mallory's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMA","","ARMA","Arctostaphylos manzanita","","Arctostaphylos","","manzanita","","","","","","","","","","","Parry","","","","","whiteleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMAE","","ARMAE","Arctostaphylos manzanita ssp. elegans","","Arctostaphylos","","manzanita","ssp.","","elegans","","","","","","","","Parry","(Eastw.) P.V. Wells","","","","Konocti manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMAG","","ARMAG","Arctostaphylos manzanita ssp. glaucescens","","Arctostaphylos","","manzanita","ssp.","","glaucescens","","","","","","","","Parry","P.V. Wells","","","","whiteleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMAL","","ARMAL","Arctostaphylos manzanita ssp. laevigata","","Arctostaphylos","","manzanita","ssp.","","laevigata","","","","","","","","Parry","(Eastw.) Munz","","","","Contra Costa manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMAM2","","ARMAM2","Arctostaphylos manzanita ssp. manzanita","","Arctostaphylos","","manzanita","ssp.","","manzanita","","","","","","","","Parry","Parry","","","","whiteleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMAR","","ARMAR","Arctostaphylos manzanita ssp. roofii","","Arctostaphylos","","manzanita","ssp.","","roofii","","","","","","","","Parry","(Gankin) P.V. Wells","","","","Roof's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMAW","","ARMAW","Arctostaphylos manzanita ssp. wieslanderi","","Arctostaphylos","","manzanita","ssp.","","wieslanderi","","","","","","","","Parry","P.V. Wells","","","","Wieslander's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARME8","","ARME8","Arctostaphylos mendocinoensis","","Arctostaphylos","","mendocinoensis","","","","","","","","","","","P.V. Wells","","","","","pygmy manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARME3","","ARME3","Arctostaphylos mewukka","","Arctostaphylos","","mewukka","","","","","","","","","","","Merriam","","","","","Indian manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMEM2","","ARMEM2","Arctostaphylos mewukka ssp. mewukka","","Arctostaphylos","","mewukka","ssp.","","mewukka","","","","","","","","Merriam","Merriam","","","","Indian manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMET","","ARMET","Arctostaphylos mewukka ssp. truei","","Arctostaphylos","","mewukka","ssp.","","truei","","","","","","","","Merriam","(W. Knight) P.V. Wells","","","","True's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMO5","","ARMO5","Arctostaphylos montaraensis","","Arctostaphylos","","montaraensis","","","","","","","","","","","J.B. Roof","","","","","Montara manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMO6","","ARMO6","Arctostaphylos montereyensis","","Arctostaphylos","","montereyensis","","","","","","","","","","","Hoover","","","","","Monterey manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMO12","","ARMO12","Arctostaphylos moranii","","Arctostaphylos","","moranii","","","","","","","","","","","P.V. Wells [excluded]","","","","","Moran's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMO2","","ARMO2","Arctostaphylos morroensis","","Arctostaphylos","","morroensis","","","","","","","","","","","Wies. & Schreib.","","","","","Morro manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARMY","","ARMY","Arctostaphylos myrtifolia","","Arctostaphylos","","myrtifolia","","","","","","","","","","","Parry","","","","","Ione manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARNE","","ARNE","Arctostaphylos nevadensis","","Arctostaphylos","","nevadensis","","","","","","","","","","","A. Gray","","","","","pinemat manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARNI4","","ARNI4","Arctostaphylos nissenana","","Arctostaphylos","","nissenana","","","","","","","","","","","Merriam","","","","","Nissenan manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARNO6","","ARNO6","Arctostaphylos nortensis","","Arctostaphylos","","nortensis","","","","","","","","","","","P.V. Wells","","","","","Del Norte manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARNU3","","ARNU3","Arctostaphylos nummularia","","Arctostaphylos","","nummularia","","","","","","","","","","","A. Gray","","","","","glossyleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"AROB","","AROB","Arctostaphylos obispoensis","","Arctostaphylos","","obispoensis","","","","","","","","","","","Eastw.","","","","","serpentine manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"AROH2","","AROH2","Arctostaphylos ohloneana","","Arctostaphylos","","ohloneana","","","","","","","","","","","M.C. Vasey & V.T. Parker","","","","","Ohlone manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"AROS","","AROS","Arctostaphylos osoensis","","Arctostaphylos","","osoensis","","","","","","","","","","","P.V. Wells","","","","","Oso manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"AROT","","AROT","Arctostaphylos otayensis","","Arctostaphylos","","otayensis","","","","","","","","","","","Wies. & Schreib.","","","","","Otay manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPA19","","ARPA19","Arctostaphylos pacifica","","Arctostaphylos","","pacifica","","","","","","","","","","","J.B. Roof","","","","","Pacific manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPA3","","ARPA3","Arctostaphylos pajaroensis","","Arctostaphylos","","pajaroensis","","","","","","","","","","","(J.E. Adams ex McMinn) J.E. Adams","","","","","Pajaro manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPA21","","ARPA21","Arctostaphylos pallida","","Arctostaphylos","","pallida","","","","","","","","","","","Eastw.","","","","","Alameda manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPA4","","ARPA4","Arctostaphylos parryana","","Arctostaphylos","","parryana","","","","","","","","","","","Lemmon","","","","","Parry manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPAD2","","ARPAD2","Arctostaphylos parryana ssp. deserticum","","Arctostaphylos","","parryana","ssp.","","deserticum","","","","","","","","Lemmon","J.E. Keeley, L. Boykin & A. Massihi","","","","Parry manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPAP5","","ARPAP5","Arctostaphylos parryana ssp. parryana","","Arctostaphylos","","parryana","ssp.","","parryana","","","","","","","","Lemmon","Lemmon","","","","Parry manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPAT","","ARPAT","Arctostaphylos parryana ssp. tumescens","","Arctostaphylos","","parryana","ssp.","","tumescens","","","","","","","","Lemmon","J.E. Keeley, L. Boykin & A. Massihi","","","","Parry manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPA6","","ARPA6","Arctostaphylos patula","","Arctostaphylos","","patula","","","","","","","","","","","Greene","","","","","greenleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPE5","","ARPE5","Arctostaphylos pechoensis","","Arctostaphylos","","pechoensis","","","","","","","","","","","(Dudley ex Abrams) Dudley ex Munz","","","","","Pecho manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPE9","","ARPE9","Arctostaphylos peninsularis","","Arctostaphylos","","peninsularis","","","","","","","","","","","P.V. Wells","","","","","Peninsular manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPI","","ARPI","Arctostaphylos pilosula","","Arctostaphylos","","pilosula","","","","","","","","","","","Jeps. & Wies. ex Jeps.","","","","","La Panza manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPR","","ARPR","Arctostaphylos pringlei","","Arctostaphylos","","pringlei","","","","","","","","","","","Parry","","","","","Pringle manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPRD2","","ARPRD2","Arctostaphylos pringlei ssp. drupacea","","Arctostaphylos","","pringlei","ssp.","","drupacea","","","","","","","","Parry","(Parry) P.V. Wells","","","","pinkbracted manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPRP","","ARPRP","Arctostaphylos pringlei ssp. pringlei","","Arctostaphylos","","pringlei","ssp.","","pringlei","","","","","","","","Parry","Parry","","","","Pringle manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPU4","","ARPU4","Arctostaphylos pumila","","Arctostaphylos","","pumila","","","","","","","","","","","Nutt.","","","","","sandmat manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPU5","","ARPU5","Arctostaphylos pungens","","Arctostaphylos","","pungens","","","","","","","","","","","Kunth","","","","","pointleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARPU10","","ARPU10","Arctostaphylos purissima","","Arctostaphylos","","purissima","","","","","","","","","","","P.V. Wells","","","","","La Purissima manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARRA7","","ARRA7","Arctostaphylos rainbowensis","","Arctostaphylos","","rainbowensis","","","","","","","","","","","J.E. Keeley & A. Massihi","","","","","Rainbow manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARRE5","","ARRE5","Arctostaphylos refugioensis","","Arctostaphylos","","refugioensis","","","","","","","","","","","Gankin","","","","","Refugio manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARRE7","","ARRE7","Arctostaphylos regismontana","","Arctostaphylos","","regismontana","","","","","","","","","","","Eastw.","","","","","Kings Mountain manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARRU","","ARRU","Arctostaphylos rubra","","Arctostaphylos","","rubra","","","","","","","","","","","(Rehder & Wilson) Fernald","","","","","red fruit bearberry","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARRU2","","ARRU2","Arctostaphylos rudis","","Arctostaphylos","","rudis","","","","","","","","","","","Jeps. & Wies. ex Jeps.","","","","","shagbark manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARSI","","ARSI","Arctostaphylos silvicola","","Arctostaphylos","","silvicola","","","","","","","","","","","Jeps. & Wies. ex Jeps.","","","","","Bonny Doon manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARST","","ARST","Arctostaphylos stanfordiana","","Arctostaphylos","","stanfordiana","","","","","","","","","","","Parry","","","","","Stanford's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARSTD4","","ARSTD4","Arctostaphylos stanfordiana ssp. decumbens","","Arctostaphylos","","stanfordiana","ssp.","","decumbens","","","","","","","","Parry","(P.V. Wells) P.V. Wells","","","","Rincon manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARSTR","","ARSTR","Arctostaphylos stanfordiana ssp. raichei","","Arctostaphylos","","stanfordiana","ssp.","","raichei","","","","","","","","Parry","W. Knight","","","","Raiche's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARSTS","","ARSTS","Arctostaphylos stanfordiana ssp. stanfordiana","","Arctostaphylos","","stanfordiana","ssp.","","stanfordiana","","","","","","","","Parry","Parry","","","","Stanford's manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTO2","","ARTO2","Arctostaphylos tomentosa","","Arctostaphylos","","tomentosa","","","","","","","","","","","(Pursh) Lindl.","","","","","woollyleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTOB","","ARTOB","Arctostaphylos tomentosa ssp. bracteosa","","Arctostaphylos","","tomentosa","ssp.","","bracteosa","","","","","","","","(Pursh) Lindl.","(DC.) J.E. Adams","","","","woollyleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTOC2","","ARTOC2","Arctostaphylos tomentosa ssp. crinita","","Arctostaphylos","","tomentosa","ssp.","","crinita","","","","","","","","(Pursh) Lindl.","(J.E. Adams ex McMinn) Gankin","","","","woollyleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTOC3","","ARTOC3","Arctostaphylos tomentosa ssp. crustacea","","Arctostaphylos","","tomentosa","ssp.","","crustacea","","","","","","","","(Pursh) Lindl.","(Eastw.) P.V. Wells","","","","brittleleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTOD2","","ARTOD2","Arctostaphylos tomentosa ssp. daciticola","","Arctostaphylos","","tomentosa","ssp.","","daciticola","","","","","","","","(Pursh) Lindl.","P.V. Wells","","","","dacite manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTOE","","ARTOE","Arctostaphylos tomentosa ssp. eastwoodiana","","Arctostaphylos","","tomentosa","ssp.","","eastwoodiana","","","","","","","","(Pursh) Lindl.","P.V. Wells","","","","woollyleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTOI","","ARTOI","Arctostaphylos tomentosa ssp. insulicola","","Arctostaphylos","","tomentosa","ssp.","","insulicola","","","","","","","","(Pursh) Lindl.","P.V. Wells","","","","woollyleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTOR","","ARTOR","Arctostaphylos tomentosa ssp. rosei","","Arctostaphylos","","tomentosa","ssp.","","rosei","","","","","","","","(Pursh) Lindl.","(Eastw.) P.V. Wells","","","","rosy manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTOS","","ARTOS","Arctostaphylos tomentosa ssp. subcordata","","Arctostaphylos","","tomentosa","ssp.","","subcordata","","","","","","","","(Pursh) Lindl.","(Eastw.) P.V. Wells","","","","Santa Cruz Island manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARTOT3","","ARTOT3","Arctostaphylos tomentosa ssp. tomentosa","","Arctostaphylos","","tomentosa","ssp.","","tomentosa","","","","","","","","(Pursh) Lindl.","(Pursh) Lindl.","","","","woollyleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARUV","","ARUV","Arctostaphylos uva-ursi","","Arctostaphylos","","uva-ursi","","","","","","","","","","","(L.) Spreng.","","","","","kinnikinnick","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARVI3","","ARVI3","Arctostaphylos virgata","","Arctostaphylos","","virgata","","","","","","","","","","","Eastw.","","","","","Bolinas manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARVI7","","ARVI7","Arctostaphylos viridissima","","Arctostaphylos","","viridissima","","","","","","","","","","","(Eastw.) McMinn","","","","","whitehair manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARVI4","","ARVI4","Arctostaphylos viscida","","Arctostaphylos","","viscida","","","","","","","","","","","Parry","","","","","sticky whiteleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARVIM","","ARVIM","Arctostaphylos viscida ssp. mariposa","","Arctostaphylos","","viscida","ssp.","","mariposa","","","","","","","","Parry","(Dudley) P.V. Wells","","","","Mariposa manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARVIP2","","ARVIP2","Arctostaphylos viscida ssp. pulchella","","Arctostaphylos","","viscida","ssp.","","pulchella","","","","","","","","Parry","(Howell) P.V. Wells","","","","sticky whiteleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARVIV","","ARVIV","Arctostaphylos viscida ssp. viscida","","Arctostaphylos","","viscida","ssp.","","viscida","","","","","","","","Parry","Parry","","","","sticky whiteleaf manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARWE","","ARWE","Arctostaphylos wellsii","","Arctostaphylos","","wellsii","","","","","","","","","","","Knight","","","","","Wells' manzanita","Dicot","Arctostaphylos","Ericaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ARCTO11","","ARCTO11","Arctotheca","","Arctotheca","","","","","","","","","","","","","J.C. Wendl.","","","","","Capeweed","Dicot","Arctotheca","Asteraceae","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ARCA45","","ARCA45","Arctotheca calendula","","Arctotheca","","calendula","","","","","","","","","","","(L.) Levyns","","","","","Capeweed","Dicot","Arctotheca","Asteraceae","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ARCTO4","","ARCTO4","Arctotis","","Arctotis","","","","","","","","","","","","","L.","","","","","arctotis","Dicot","Arctotis","Asteraceae","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ARST2","","ARST2","Arctotis stoechadifolia","","Arctotis","","stoechadifolia","","","","","","","","","","","P.J. Bergius","","","","","African daisy","Dicot","Arctotis","Asteraceae","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ARDIS","","ARDIS","Ardisia","","Ardisia","","","","","","","","","","","","","Sw.","","","","","marlberry","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ARCR80","","ARCR80","Ardisia crenata","","Ardisia","","crenata","","","","","","","","","","","Sims","","","","","hen's eyes","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ARCR11","","ARCR11","Ardisia crispa","","Ardisia","","crispa","","","","","","","","","","","(Thunb.) A. DC. [excluded]","","","","","","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"AREL4","","AREL4","Ardisia elliptica","","Ardisia","","elliptica","","","","","","","","","","","Thunb.","","","","","shoebutton","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ARES","","ARES","Ardisia escallonoides","","Ardisia","","escallonoides","","","","","","","","","","","Schiede & Deppe ex Schltdl. & Cham.","","","","","island marlberry","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ARGL11","","ARGL11","Ardisia glauciflora","","Ardisia","","glauciflora","","","","","","","","","","","Urb.","","","","","ausubon","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ARHU8","","ARHU8","Ardisia humilis","","Ardisia","","humilis","","","","","","","","","","","Vahl","","","","","low shoebutton","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ARJA4","","ARJA4","Ardisia japonica","","Ardisia","","japonica","","","","","","","","","","","(Thunb.) Blume","","","","","marlberry","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ARLU3","","ARLU3","Ardisia luquillensis","","Ardisia","","luquillensis","","","","","","","","","","","(Britton) Alain","","","","","mountain marlberry","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"AROB2","","AROB2","Ardisia obovata","","Ardisia","","obovata","","","","","","","","","","","Desv. ex Ham.","","","","","Guadeloupe marlberry","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ARSO","","ARSO","Ardisia solanacea","","Ardisia","","solanacea","","","","","","","","","","","Roxb.","","","","","China-shrub","Dicot","Ardisia","Myrsinaceae","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ARECA","","ARECA","Areca","","Areca","","","","","","","","","","","","","L.","","","","","areca palm","Monocot","Areca","Arecaceae","Arecales","Liliopsida","Magnoliophyta","Plantae"
"ARCA41","","ARCA41","Areca catechu","","Areca","","catechu","","","","","","","","","","","L.","","","","","betel palm","Monocot","Areca","Arecaceae","Arecales","Liliopsida","Magnoliophyta","Plantae"
"ARECA2","","ARECA2","Arecastrum","","Arecastrum","","","","","","","","","","","","","(Drude) Becc.","","","","","arecastrum palm","Monocot","Arecastrum","Arecaceae","Arecales","Liliopsida","Magnoliophyta","Plantae"
"ARRO10","","ARRO10","Arecastrum romanzoffianum","","Arecastrum","","romanzoffianum","","","","","","","","","","","(Cham.) Becc.","","","","","queen palm","Monocot","Arecastrum","Arecaceae","Arecales","Liliopsida","Magnoliophyta","Plantae"
"ARENA","","ARENA","Arenaria","","Arenaria","","","","","","","","","","","","","L.","","","","","sandwort","Dicot","Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ARAB","","ARAB","Arenaria aberrans","","Arenaria","","aberrans","","","","","","","","","","","M.E. Jones","","","","","Mt. Dellenbaugh sandwort","Dicot","Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ARAC2","","ARAC2","Arenaria aculeata","","Arenaria","","aculeata","","","","","","","","","","","S. Watson","","","","","prickly sandwort","Dicot","Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ARBE","","ARBE","Arenaria benthamii","","Arenaria","","benthamii","","","","","","","","","","","Fenzl ex Torr. & A. Gray","","","","","hilly sandwort","Dicot","Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ARCA7","","ARCA7","Arenaria capillaris","","Arenaria","","capillaris","","","","","","","","","","","Poir.","","","","","slender mountain sandwort","Dicot","Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
