"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","Class","Division","Kingdom"
"ABMAS","","ABMAS","Abies magnifica var. shastensis","","Abies","","magnifica","","","","var.","","shastensis","","","","","A. Murray bis","Lemmon","","","","Shasta red fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABPR","","ABPR","Abies procera","","Abies","","procera","","","","","","","","","","","Rehder","","","","","noble fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABVE2","","ABVE2","Abies veitchii","","Abies","","veitchii","","","","","","","","","","","Lindl.","","","","","Christmastree","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABIET","","ABIET","Abietinella","","Abietinella","","","","","","","","","","","","","Müll. Hal.","","","","","abietenella moss","Moss","Abietinella","Thuidiaceae","Hypnales","Bryopsida","Bryophyta","Plantae"
"ABAB70","","ABAB70","Abietinella abietina","","Abietinella","","abietina","","","","","","","","","","","(Hedw.) Fleisch.","","","","","abietinella moss","Moss","Abietinella","Thuidiaceae","Hypnales","Bryopsida","Bryophyta","Plantae"
"ABILD","","ABILD","Abildgaardia","","Abildgaardia","","","","","","","","","","","","","Vahl","","","","","sedge","Monocot","Abildgaardia","Cyperaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ABOV","","ABOV","Abildgaardia ovata","","Abildgaardia","","ovata","","","","","","","","","","","(Burm. f.) Kral","","","","","flatspike sedge","Monocot","Abildgaardia","Cyperaceae","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ABROM","","ABROM","Abroma","","Abroma","","","","","","","","","","","","","Jacq.","","","","","","","Abroma","Sterculiaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABAU3","","ABAU3","Abroma augustum","","Abroma","","augustum","","","","","","","","","","","(L.) L. f.","","","","","devil's-cotton","","Abroma","Sterculiaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABRON","","ABRON","Abronia","","Abronia","","","","","","","","","","","","","Juss.","","","","","sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABAL","","ABAL","Abronia alpina","","Abronia","","alpina","","","","","","","","","","","Brandegee","","","","","Ramshaw Meadows sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABAM2","","ABAM2","Abronia ameliae","","Abronia","","ameliae","","","","","","","","","","","Lundell","","","","","Amelia's sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABAM3","","ABAM3","Abronia ammophila","","Abronia","","ammophila","","","","","","","","","","","Greene","","","","","Wyoming sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABAN","","ABAN","Abronia angustifolia","","Abronia","","angustifolia","","","","","","","","","","","Greene","","","","","purple sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABAR","","ABAR","Abronia argillosa","","Abronia","","argillosa","","","","","","","","","","","S.L. Welsh & Goodrich","","","","","clay sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABBI","","ABBI","Abronia bigelovii","","Abronia","","bigelovii","","","","","","","","","","","Heimerl","","","","","Galisteo sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABBO","","ABBO","Abronia bolackii","","Abronia","","bolackii","","","","","","","","","","","N.D. Atwood, S.L. Welsh & K.D. Heil","","","","","Bolack's sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABCA","","ABCA","Abronia carletonii","","Abronia","","carletonii","","","","","","","","","","","J.M. Coult. & Fisher","","","","","Carleton's sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABEL","","ABEL","Abronia elliptica","","Abronia","","elliptica","","","","","","","","","","","A. Nelson","","","","","fragrant white sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABFR2","","ABFR2","Abronia fragrans","","Abronia","","fragrans","","","","","","","","","","","Nutt. ex Hook.","","","","","snowball sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABGR2","","ABGR2","Abronia gracilis","","Abronia","","gracilis","","","","","","","","","","","Benth.","","","","","slender sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABIN2","","ABIN2","Abronia insularis","","Abronia","","insularis","","","","","","","","","","","Standl.","","","","","island sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABLA2","","ABLA2","Abronia latifolia","","Abronia","","latifolia","","","","","","","","","","","Eschsch.","","","","","coastal sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
